"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",1145.16755008747,0.947282372160633,0.138890690529003,6.82034460735021,9.08223808084441e-12,3.08808913715655e-11
"NCU09901",480.7976852414,0.630991517096631,0.222844510185647,2.83153269771361,0.00463254968059029,0.00702316688517433
"NCU09903",803.555640456033,-1.95903153969885,0.162283536202301,-12.0716591808595,1.49097492770783e-33,1.85860729668728e-32
"NCU11134",11.4966775893822,3.39303498281345,0.742082236382921,4.57231667389302,4.82361197267626e-06,1.00463806663866e-05
"NCU09904",2856.17699627465,0.130449598604921,0.242574633424276,0.537770981093301,0.590735168365719,0.631358039304799
"NCU09906",11472.9339286694,-1.24669149819037,0.239235416457952,-5.21114940525325,1.87674232808621e-07,4.46635936612466e-07
"NCU09907",70.030130839781,5.3110644062414,0.536971466315727,9.89077584081276,4.56476340894675e-23,3.24620370543254e-22
"NCU09908",7.23203042144877,6.44343552270334,1.35865253693371,4.74251903819741,2.11076985420191e-06,4.54105343047324e-06
"NCU09909",962.497678452641,-0.705596034492481,0.488933011114976,-1.44313437311877,0.148982622115463,0.180851164865785
"NCU09910",598.461594519323,-0.42967755584084,0.128363051481147,-3.34736165027945,0.000815846995311972,0.00135660080186819
"NCU09911",3109.885640721,1.16293941195393,0.185123168776838,6.28197658692753,3.3429520149226e-10,9.9946278671406e-10
"NCU09912",556.463315616171,-1.24087577418453,0.169764551287134,-7.309392713475,2.68352415933775e-13,1.02816854073076e-12
"NCU09913",401.535341195749,1.21898574025332,0.197263054223553,6.1794933929791,6.43076252364557e-10,1.87949128534573e-09
"NCU09914",211.359729039867,2.69584987868965,0.221740108275399,12.1577007410019,5.22074810841862e-34,6.67203299372968e-33
"NCU10501",25.8698538837202,0.433784182784641,0.609777730234236,0.711380821693849,0.476848280118704,0.520433800795541
"NCU08049",364.732294195031,0.533927715558023,0.12208624059699,4.37336519616928,1.22345803816874e-05,2.44945806270393e-05
"NCU08050",195.359647563403,0.254768618675289,0.1788333169256,1.42461496020499,0.154268533153182,0.186773663206943
"NCU08051",426.653137457986,-1.4157707222338,0.13180423010659,-10.7414664998905,6.50035243053344e-27,5.8213193327714e-26
"NCU16303",201.182490805915,-1.98342538847446,0.210727186042259,-9.41229001215203,4.85443138643879e-21,3.09373682802409e-20
"NCU08052",8432.62009338129,-2.37156169090782,0.223005814361004,-10.6345285108518,2.05867340918109e-26,1.78554248162637e-25
"NCU08053",1630.82014500019,-0.076797345657389,0.115319254890018,-0.665954230545734,0.50544035576203,0.548903783176256
"gh3-2",3321.66174204541,-0.484308608878994,0.123856877466569,-3.91022782735434,9.22091081872666e-05,0.00017037909232838
"NCU08055",16155.0768370677,-1.09278842818682,0.192748936322074,-5.66949135512131,1.43222076765377e-08,3.73299413500454e-08
"NCU08056",519.485142686223,0.0831364164958324,0.205110887697243,0.405324248893833,0.685239184373947,0.720010038811568
"NCU08057",2176.93283443451,0.624370529229546,0.127293942366248,4.90495083759065,9.34507424780883e-07,2.07486487216327e-06
"NCU08058",106.3170271383,2.14436729515345,0.202569572288257,10.5858311834811,3.46689974805511e-26,2.97215711496966e-25
"NCU08059",1.02238040727503,-1.10474801889311,2.00136257304631,-0.551997940688757,0.580949764171699,0.621727224295701
"NCU08060",118.96227477192,-0.033356556056876,0.199859943611345,-0.166899657100586,0.867449002959069,0.886304590447841
"NCU08062",130.481854376466,-0.463400751787782,0.216416554439663,-2.14124447636457,0.0322543280811143,0.0435176008666505
"NCU08063",1054.45108779905,-0.751261872751722,0.0962627589393712,-7.80428361943051,5.98404808036104e-15,2.56618991109742e-14
"NCU08064",2258.65915925557,-1.34860117202748,0.174053222053567,-7.74821147299667,9.31958431598504e-15,3.95088053096488e-14
"NCU08065",403.576492272856,0.0209662737453796,0.158270108064267,0.132471469197873,0.89461138840078,0.909812700646957
"NCU08066",2361.63396705911,-0.462390454539988,0.122688641640263,-3.76881224177026,0.000164026208905044,0.000294550232763512
"ro-10",419.269590249579,-0.0849597537656336,0.137820461534983,-0.616452396250816,0.537595981045974,0.580097970140986
"NCU08067",1442.34859850607,-0.5590501020416,0.108952384757649,-5.13114149162627,2.87990318146332e-07,6.71118429421536e-07
"NCU08068",221.077510871765,0.0085477853579562,0.157337294280792,0.0543277764946268,0.956674019784267,0.964783972228278
"NCU08069",320.376409295538,1.34309216681369,0.135929827159743,9.88077594798454,5.04407967245515e-23,3.57650858894612e-22
"NCU08070",3499.79445833708,0.410444803795645,0.157433199486718,2.60710450612592,0.00913114867339438,0.0133456315208294
