"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU14001",58.0803755941301,1.36173907365238,0.248454069022031,5.4808483475939,4.23291202309603e-08,5.32508058811651e-07
"NCU09909",4128.76534601934,2.06841964570385,0.276929501111917,7.46911989296487,8.07329573858197e-14,3.21897647031312e-12
"NCU09911",6273.67657627642,0.817602020154377,0.180002514814317,4.54216998577925,5.5678116107913e-06,4.0393845287613e-05
"NCU09912",1319.4192425179,0.253005647973007,0.0643817227248548,3.92977443387567,8.50255855670434e-05,0.000447823075947818
"NCU09913",515.276927221744,0.732508644366249,0.153546945391827,4.77058428285242,1.8369230345367e-06,1.52797158277971e-05
"NCU08055",22549.0870501364,-0.71398146607354,0.19757768069368,-3.61367470033461,0.000301887781458789,0.00136117532864293
"NCU08056",659.042550934813,0.905931366052411,0.154248827420882,5.87318154179866,4.27509860104249e-09,6.79578688656656e-08
"NCU08058",104.902834681867,0.601918362725532,0.235862601770455,2.55198729348084,0.0107110424995915,0.0288447806526817
"NCU08063",1529.87313143869,-0.263021786180411,0.0943778543970123,-2.7869015232533,0.0053214647528816,0.0158380053672284
"NCU08065",616.747316831553,0.359939870867019,0.0850915371066355,4.23003136511622,2.33658730903487e-05,0.000144338866484491
"NCU08066",5337.06453274798,0.302381371307871,0.0906877626504446,3.33431283858438,0.00085510425312623,0.00332385933362117
"NCU10696",611.509234003451,-0.328951335215848,0.0992285519214481,-3.31508753122039,0.000916144326736925,0.00352889285775832
"NCU08068",367.241265172387,-0.650711012182797,0.124015412228384,-5.24701728995154,1.5458139688504e-07,1.6949498847088e-06
"NCU08069",237.190146398063,-0.632318642515492,0.20012899287572,-3.15955541188458,0.00158010050364501,0.00559550280418042
"NCU08070",6978.63590514205,-0.278772122535071,0.100383870378082,-2.77706091113159,0.00548528983548771,0.0162404300775149
"NCU08071",2445.62698653096,-0.371211757676413,0.0777900995922045,-4.77196660786397,1.82435755766147e-06,1.52277042161553e-05
"NCU08090",2172.33592544725,0.282476007042658,0.115086464407681,2.45446767781498,0.0141093348026747,0.0363721537566145
"NCU10622",321.141493956511,-0.359297393937707,0.140823658188767,-2.55139937819317,0.0107291300188297,0.0288806830897405
"NCU08092",24003.6154752591,0.428697351752587,0.140486311898611,3.0515239951774,0.00227682849426762,0.00768688528383075
"NCU08093",27432.9894158422,-0.641492260774874,0.0836087336792369,-7.67255085139724,1.68609079438821e-14,7.53198614585732e-13
"NCU08094",5721.11258128319,0.385392608873287,0.139795268915528,2.75683584904552,0.00583636425734231,0.0171535421014609
"NCU08095",4032.77799513454,1.66524044559759,0.279833472952212,5.95082649702157,2.6679178947398e-09,4.48479786870111e-08
"NCU08098",160.385083433561,0.417612686121414,0.168734520865513,2.47496886813259,0.0133247790309673,0.0346519455051228
"NCU08102",5.8900112637685,4.43503260723956,1.39494568154116,3.17935864164952,0.00147601342471054,0.00527483464260444
"NCU08115",460.053004919049,-0.507809203257994,0.104056323964693,-4.88013783218306,1.06011724353071e-06,9.44512583825283e-06
"NCU08117",813.885835400749,-0.385920151299891,0.157768358259889,-2.44611882608408,0.0144403399615807,0.0371163666194173
"NCU08118",1576.87985394645,-0.256083131963303,0.108954343754357,-2.35037101908167,0.0187547063439797,0.046401992709084
"NCU08119",2006.59691636773,-0.491240696756099,0.0865172510876304,-5.67795081998777,1.36317891910716e-08,1.9201917358343e-07
"NCU16311",102.131913321764,0.580616643760322,0.195249594196389,2.97371498337824,0.0029421822269306,0.00958767859089948
"NCU07505",1133.25046163106,-0.301450342291177,0.0858027292067706,-3.51329549861672,0.000442584961987602,0.00190248642565195
"NCU07503",11318.9071846128,0.581693546008334,0.204071479460195,2.85044018667879,0.00436587610308395,0.0134377462091261
"NCU07500",25.2737951420586,3.36445310119974,1.23626182380239,2.72147294078179,0.00649917056611357,0.018872207246433
"NCU07494",1295.71081873502,-0.348115497712908,0.103273555993564,-3.37080963624997,0.000749476280683995,0.00297804964070184
"NCU07487",257.950288499418,2.23026958578082,0.161710360671796,13.7917544461318,2.85725529384265e-43,1.72310352064298e-40
"NCU07483",1546.73814185775,-0.250471731252572,0.0929062360209829,-2.69596253147101,0.00701855609724154,0.0201314054049595
"NCU07482",760.99878499149,-0.601952306509208,0.143430959942333,-4.19680874164983,2.70702349952597e-05,0.00016284332759929
"NCU07481",1128.09518948231,-0.418609729240184,0.0754606363408961,-5.54739198526103,2.89962179920865e-08,3.79784331178157e-07
"NCU07477",1130.18106546921,0.343000907498021,0.136062904564186,2.52089949569034,0.0117055280302009,0.0311147768494238
"NCU07473",4264.3275649165,-0.680218146322379,0.204774931537822,-3.32178426926609,0.00089443819538065,0.00345493760897834
"NCU07468",3240.40542603001,-0.281776383039455,0.101242522846871,-2.78318215623332,0.00538285753628547,0.0159911306550549
"NCU07465",14868.2977918372,-0.290955648123419,0.0705377974468403,-4.12481901412776,3.71026399440851e-05,0.000214501721282491
"NCU07460",1765.07555211567,-0.314043615395405,0.0733462446468543,-4.2816590938971,1.85505024742735e-05,0.000117527116463733
"NCU07457",895.374795117931,0.44232621953774,0.133536413935409,3.3124015128315,0.000924986878468075,0.00355161097904435
"NCU07456",3641.47141040493,0.87653555049779,0.14263858326172,6.14515042461884,7.9887769444167e-10,1.50848745081559e-08
"NCU07453",5776.70559753825,0.399710423636248,0.0857937485018373,4.65896910458094,3.17796890453035e-06,2.44726432241128e-05
"NCU07452",529.734842090221,0.814933923108809,0.144607469649589,5.63548982001792,1.74561456435099e-08,2.40277245812022e-07
"NCU07449",400.617270827238,5.23998264230771,0.307554278778632,17.0375865460786,4.32202644796252e-65,6.95053886606507e-62
"NCU07448",8.46386883415407,3.33438487541014,0.731480713199716,4.55840436424432,5.15437259625045e-06,3.78785538318512e-05
"NCU07447",1337.83531192209,-0.343407337838509,0.0932394216683732,-3.68307022602429,0.000230441642416203,0.00107158140128865
