"Sample"	"TPM"
"144"	"NCU09542"	1.7023832373582
"145"	"NCU01187"	1.87609276432706
"146"	"NCU03699"	2.46246990905226
"147"	"NCU05803"	1.53173202512192
"148"	"NCU09829"	1.44395758114747
"149"	"NCU01122"	1.331237597768
"150"	"NCU04561"	2.11271494052749
"151"	"NCU03356"	1.45508594669398
"152"	"NCU08443"	1.51016125319581
"153"	"NCU02307"	1.77074009953006
"154"	"NCU02576"	2.98606581383021
"155"	"NCU04211"	1.88581700134435
"156"	"NCU00694"	2.07887382568785
"157"	"NCU08848"	1.58998399467274
"158"	"NCU00017"	1.05975138241249
"159"	"NCU07839"	2.02244948544858
"160"	"NCU02546"	1.23611603061769
"161"	"NCU06863"	2.19111585413644
"162"	"NCU08368"	2.92762516979031
"163"	"NCU01433"	1.74585571612584
"164"	"NCU05460"	1.67165880389864
"165"	"NCU09001"	2.52220860525524
"166"	"NCU06540"	1.865090069085
"167"	"NCU07071"	2.19436104284618
"168"	"NCU06678"	1.90583441562349
"169"	"NCU09995"	3.51077976238091
"170"	"NCU07975"	1.74245425366902
"171"	"NCU09993"	1.02144559684758
"172"	"NCU05246"	2.18207867770079
"173"	"NCU05530"	1.6742228955035
"174"	"NCU06306"	1.78358017227373
"175"	"NCU04229"	1.61071142139755
"176"	"NCU06788"	1.37216320884072
"177"	"NCU03435"	1.80821883440725
"178"	"FGSC4200-25C"	1.17941997574716
"179"	"NCU07779"	1.90903764017348
"180"	"NCU02913"	1.71496425009344
"181"	"NCU03481"	1.88104790706019
"182"	"FGSC4200-20C"	1.82347950143167
"183"	"NCU04017"	4.97045966547946
"184"	"NCU03855"	1.79328951184787
"185"	"NCU04242"	1.83818620834861
"186"	"NCU05347"	2.6492044617246
"187"	"NCU06190"	1.9054827298347
"188"	"NCU06975"	1.61506942959914
"189"	"NCU01522"	1.66879218345085
"190"	"NCU09516"	1.97980474342618
"191"	"NCU09120"	1.86566865005495
"192"	"NCU00631"	2.04478530119274
"193"	"NCU08423"	1.5232557693089
"194"	"XL-4200"	2.93807762395059
"195"	"NCU04424"	1.96208223257462
"196"	"NCU05300"	2.15321036280417
"197"	"NCU04079"	2.16887609566991
"198"	"NCU06630"	1.80492293912127
"199"	"NCU06787"	2.09344078945057
"200"	"NCU08809"	2.03316072153292
"201"	"NCU02078"	1.70713907238298
"202"	"NCU08268"	1.83230357512471
"203"	"NCU03652"	1.60095009101574
"204"	"NCU09387"	2.1366628619557
"205"	"NCU04445"	2.04153096076857
"206"	"NCU02695"	2.29325874375886
"207"	"NCU07505"	1.79459426295318
"208"	"NCU02354"	2.3627814185575
"209"	"NCU03650"	2.13305783398967
"210"	"NCU03786"	1.45841130954824
"211"	"NCU07556"	1.98421720949504
"212"	"NCU06419"	2.29735895776509
"213"	"NCU07837"	1.98168040588481
"214"	"NCU06563"	2.91433598905749
"215"	"NCU00043"	2.4181894701341
"216"	"NCU07489"	2.07816641585448
"217"	"NCU03073"	1.8654954852528
"218"	"NCU02017"	1.63309585956979
"219"	"NCU09106"	1.84716463729319
"220"	"NCU08919"	3.08288192432392
"221"	"NCU09248"	2.24588677138828
"222"	"NCU06488"	1.81090730676122
"223"	"NCU02819"	2.22362188249281
"224"	"NCU02326"	1.43411396174064
"225"	"4200"	2.83776708620999
"226"	"23440"	1.19393669122083
"227"	"23717"	2.18893875657349
"228"	"NCU01669"	1.96296211311008
"229"	"NCU08289"	2.50293222795813
"230"	"NCU07459"	1.49536235302697
"231"	"NCU03505"	2.34051099010552
"232"	"NCU02626"	2.23064789587412
"233"	"NCU01238"	1.99752560575681
"234"	"NCU07419"	1.47690435199613
"235"	"NCU00548"	1.84655152910871
"236"	"NCU09434"	1.96401356344899
"237"	"NCU07534"	1.83172714705264
"238"	"NCU02178"	2.55807995542111
"239"	"NCU10760"	1.76300954596337
"240"	"NCU08290"	2.49111043699439
"241"	"NCU01247"	1.38817120879907
"242"	"NCU04198"	1.55050857652667
"243"	"NCU09609"	1.5359614734537
"244"	"NCU00658"	1.47507071547057
"245"	"NCU00077"	1.35067403299852
"246"	"NCU03266"	1.86373066664593
"247"	"NCU03897"	2.11406601508199
"248"	"NCU03070"	2.78089380388196
"249"	"2489"	1.17420460999334
"250"	"S238"	1.58701065746592
"251"	"S318"	0.929555359039258
"252"	"S321"	0.70530836670349
"253"	"S324"	0.682347928046303
"254"	"S328"	1.19862907491429
"255"	"S320"	0.78881417416318
"256"	"S327"	1.61594191380494
"257"	"S322"	0.404812441915774
"258"	"S323"	0.769220500906495
"259"	"S326"	1.07174484552695
"260"	"S319"	0.896999648127162
"261"	"S330"	1.17710831012177
"262"	"14810"	1.16757822165249
"263"	"S535"	1.05969486183974
"264"	"S533"	0.66858143420646
"265"	"11841"	1.7784443414204
"266"	"S540"	0.644914025947385
"267"	"S539"	1.06307538706449
"268"	"12344"	0.616153794646914
"269"	"S534"	1.26503205211973
"270"	"S537"	0.992702008794316
"271"	"S332"	0.907802865280731
"272"	"S331"	1.00504876752503
"273"	"S538"	1.27479640588098
"274"	"14508"	0.865029822669592
"275"	"14507"	2.15310879593977
"276"	"11169"	1.33141266279321
"277"	"S325"	0.896090306621102
"278"	"S536"	1.1797986269699
"279"	"NCU06407"	2.35837631761241
"280"	"NCU00269"	1.7909254660869
"281"	"NCU05383"	1.67976656650566
"282"	"NCU07624"	1.42255318898529
"283"	"NCU04866"	2.31574734281982
"284"	"NCU03060"	3.77818685878948
"285"	"NCU04001"	2.71934965998492
"286"	"NCU00019"	1.90227064996657
"287"	"NCU01525"	2.1400197640557
"288"	"NCU09739"	1.02045809636002
"289"	"NCU02671"	2.10686575643571
"290"	"NCU03593"	1.65192260354899
"291"	"NCU01206"	2.2268894400179
"292"	"NCU01276"	1.68270232411842
"293"	"NCU00203"	1.10819495171369
"294"	"NCU00145"	3.1799594653568
"295"	"NCU03043"	1.90465970189197
"296"	"NCU07975_vad-3-DKO"	2.15899943167306
"297"	"NCU07975_set-2-DKO"	1.79886285418877
"298"	"NCU07975_nst-7-DKO"	1.34967607326215
"299"	"NCU07975_col-24-DKO"	1.88494009921535
"300"	"NCU07975_NCU04445-DKO"	1.8168778242373
"301"	"ZP-mek-2"	1.91295561878548
"302"	"vad-3_nst-7-DKO"	2.43064367019062
"303"	"vad-3_col-24-DKO"	2.17764954186862
"304"	"ZP-nrc-1"	1.68434257175625
"305"	"NCU02194"	2.26045818056976
"306"	"ZP-mcb"	1.00524043303182
"307"	"NCU04765"	4.93167784577439
"308"	"ZP-87-3-1"	1.0654416148805
"309"	"ZP-pkac-1"	1.78358270438745
"310"	"ZP-bd-pde-1"	1.04054995796798
"311"	"ZP-NCU03435"	1.32862392840682
"312"	"ZP-ba-ras-2"	2.00563185480438
"313"	"ZP-ras-2"	1.23056235769321
"314"	"vad-3_set-2-DKO"	1.59260236121518
"315"	"ZP-NCU04242"	1.25749344547588
"316"	"XL-87-3-P_GCN4-3AT"	7.59970937449712
"317"	"XL-87-3-W_GCN4-3AT"	8.7169447252321
"318"	"XL-ADAT-P_GCN4"	3.21679610683218
"319"	"XL-ADAT-W_GCN4"	3.67722452191719
"320"	"XL-ADAT"	6.22817087485503
"321"	"XL-87-3"	6.61007453512142
"322"	"NCU02121"	1.29283332405494
"323"	"NCU00202"	6.02899235714481
"324"	"NCU05943"	1.40770457926206
"325"	"NCU00440"	2.22602520661359
"326"	"NCU00879"	1.20770733185379
"327"	"NCU07662"	3.30311139070935
"328"	"NCU01269"	2.14950423458008
"329"	"NCU03517"	1.64902638828654
"330"	"NCU06758"	2.03366603273057
"331"	"NCU02151"	1.438205120738
"332"	"NCU02104"	3.55167861763407
"333"	"NCU07492"	1.39282515873421
"334"	"NCU02112"	1.47831732109324
"335"	"NCU02796"	1.03176021661856
"336"	"NCU09388"	1.76454903154937
"337"	"NCU00070"	0.992583194625097
"338"	"NCU07297"	1.62997432275416
"339"	"NCU00423"	1.3313807552896
"340"	"NCU06233"	1.75270659259125
"341"	"NCU03461"	1.71123077133711
