"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.89142451202084,-0.950635717199521,0.77013949258683,-1.23436822335447,0.217065724352376,0.330112019495597
"37S ribosomal protein MRP4",9.25338573245003,1.06676043190775,0.750765823081573,1.42089636889589,0.155346888780108,0.255699239974348
"37S ribosomal protein Rsm22",7.08477158254666,0.133317250752935,0.678397103849219,0.196518012822423,0.844204735347567,0.899380682578585
"aab-1",5.62651289056377,1.19725312162933,0.929926380009781,1.28747086582998,0.197930217950752,0.307978720964817
"aac",48.5195653852449,-1.04090534107857,0.402601768368772,-2.58544652025752,0.00972529587191952,0.0250058791490011
"aap-2",0.901439023437591,3.05577515986389,2.44582425274408,1.2493846017086,0.211524437676785,NA
"acd-1",6.66211111202094,-0.116578557068786,0.893158695500009,-0.130523900910491,0.896151945700244,0.933535703101858
"acd-2",4.07447893326691,0.429319545177522,1.34282249134092,0.319714294291281,0.749184922821527,0.829060392799363
"acd-3",6.85535370046887,0.57369838056578,0.777226038916276,0.738135821293012,0.46043191792002,0.583434196890395
"ace-2",21.8924944820654,0.0937045572400657,0.651972973579084,0.14372460368359,0.885717941977346,0.927094354808855
"ace-4",24.1811869981984,-1.34539972817581,0.569547021028934,-2.36222766251193,0.01816548280415,0.0426236627764929
"acon-2",42.4594131383015,3.55294153395918,0.557016558334696,6.37852049601784,1.78806917771501e-10,1.61383532689419e-09
"acon-3",9.47558597345705,1.27390427809704,0.994102337388558,1.28146190808032,0.200031471278813,0.310018033440022
"acp-1",9.66060008603361,1.77016142974415,0.589013510189655,3.00529851883055,0.0026532031091177,0.0079856322149905
"acr-2",29.0794636588419,0.623495555765527,0.520152500203475,1.19867837897852,0.230653028271331,0.346962718145578
"act",32.7705226142301,-2.38389681830581,0.504396812437992,-4.7262329172607,2.28723284532136e-06,1.23893241920784e-05
"actin cytoskeleton-regulatory complex protein",117.663449566375,4.86287676057897,0.391879747792102,12.4091045479564,2.33246750397411e-35,1.58293804260089e-33
"acu-15",9.14727906548327,1.7205025079905,0.59419965872191,2.89549561790595,0.00378560315217904,0.0109863433585854
"acu-3",7.50585054400708,3.05085033879064,0.700990968761919,4.35219635451084,1.34780467508427e-05,6.44062653808042e-05
"acu-5",37.5534546336694,-1.51599836681448,0.400332766921736,-3.78684557467377,0.000152571854027114,0.000608391042781565
"acu-6",5.3868797257089,2.28646693380495,1.00591138137681,2.27303018549748,0.0230243609677552,0.0521353672474868
"acu-8",26.5905085775439,-0.77301779321704,0.59614335472396,-1.29669782794942,0.194735176997453,0.303911279858906
"acu-9",5.8137058238167,-0.243205722530988,1.30875488855784,-0.185829848398109,0.852578196570633,0.904886753593312
"acw-10",179.250234220908,-0.438050142063689,0.232010481134516,-1.88806186652281,0.059017645450002,0.115251095773855
"acw-11",15.0480686965624,2.90548269602295,0.773832036108795,3.75466840405462,0.000173571113309266,0.000684011679361698
"acw-2",49.9492762192727,2.93948881743154,0.421067814942593,6.98103420189524,2.93014961759634e-12,3.15740396961755e-11
"acw-3",158.0922214826,-5.25562919966821,0.457733280036839,-11.4818594777405,1.62742325092683e-30,7.81384578574256e-29
"acw-5",57.5630513765094,1.58026098472285,0.458953881475444,3.44318034666714,0.000574915786912028,0.00204112455936876
"acw-6",26.7601267146088,-0.675436010805144,0.527268046449572,-1.28101070291151,0.200189906779275,0.31012738411943
"acw-7",64.7529342366655,-1.34970587262582,0.375040643491197,-3.5988256101035,0.000319657445306563,0.00119625782024057
"acw-8",32.2594740674993,-3.13027373797226,0.578574806731595,-5.41031808082928,6.29129039838782e-08,4.1811607939568e-07
"acw-9",86.555809754607,-2.57262561001353,0.485669432939616,-5.29707129073817,1.17674761880624e-07,7.61272657519196e-07
"ad-4",8.50357629736352,-5.24027498558757,1.62420513672903,-3.22636277098649,0.00125374337414132,0.00412537097188318
"ad-5",9.63359925818478,-2.28062583939083,1.28408851880958,-1.77606590665968,0.0757220548074084,0.142177776757299
"ad-7",5.9065039354435,0.0312543734430624,0.920604904858236,0.0339498228589986,0.972917163168672,0.98534213483204
"ada-1",11.9242187744832,0.0882882201562023,0.759065213179773,0.116311772194588,0.907405456075394,0.942419107181052
"ada-3",3.10672641750744,0.782539711357716,1.20348958493348,0.650225578313559,0.515546521174515,0.632414943160698
"ada-4",24.6058270415389,-4.89870267586967,1.08956315197163,-4.49602454617261,6.92357471723922e-06,3.47804913553555e-05
"ada-6",4.34760218014301,3.81061121068953,1.47735126402425,2.57935353864968,0.00989854234694776,0.0253773744586841
"adv-1",64.4359704149482,-0.538447382298757,0.404192732659956,-1.3321550309806,0.182809250049651,0.290078167007743
"aga-1",23.8633827000768,-2.15904181204131,0.546150683044149,-3.95319804418662,7.7113560182725e-05,0.000324935825534133
"al-1",8.81322058686957,-4.80750530868967,1.37599357146821,-3.49384285535576,0.000476121185727219,0.00172243122955547
"al-2",22.9709405187583,-1.39066317135211,0.543926212454457,-2.55671291346075,0.0105666384014681,0.0267693229854852
"alc-1",10.1280337718848,-0.718449233762217,0.747369864213269,-0.961303456513468,0.336399610478871,0.460851795566745
"alf1",12.8429977463298,1.82699088553959,0.536476275445321,3.40553901292845,0.000660335779276369,0.00230953911304887
"aln-1",218.090313901172,-0.611280425190588,0.217825243223738,-2.80628827101877,0.00501158356534542,0.014120461798087
"am",32.3552751768868,0.0349574968213948,0.45207584392166,0.0773266196179518,0.938363714909423,0.962955628832116
"amph-1",48.7010038837341,2.16207380088767,0.473837719714891,4.56289930271611,5.04520161591778e-06,2.58974785491983e-05
"amyc",8.13059564702921,0.111508769512581,0.61492069786557,0.181338455348202,0.856101923352866,0.906989999253157
"anx14",7.90773864691158,1.74168554041067,0.682415021365832,2.5522379869727,0.010703338032961,0.0270573638383377
"aod-1",17.4989821970436,1.47852723467191,0.68658061278847,2.15346487671279,0.0312821616088648,0.0674166401940055
"aod-2",2.34801042287807,1.96031917652298,1.39781726695562,1.40241448067991,0.160791511662701,0.262448223641749
"aod-3",1.44218569130268,7.05480831551377,3.02804413349502,2.3298234782896,0.0198154827340145,0.0458158988650662
"aod-5",26.8479616701854,2.6116204297804,0.47482677150153,5.50015413309943,3.79459394701736e-08,2.60021787165519e-07
"apg-1",18.19251760478,1.53793201034184,0.50632800919047,3.0374223476215,0.0023861087384522,0.007290543496102
"arg-1",17.9982588079219,0.00394769503894666,0.528454756257515,0.00747026115708372,0.99403964939368,0.998282846531103
"arg-10",6.05073507642664,-1.37514835080305,1.12259056082449,-1.22497765328889,0.220583640330254,0.334668816305015
"arg-14",4.44256415734021,-0.0779935826233366,1.19828449914655,-0.065087700524279,0.948104173227008,0.968229401044695
"arg-15",3.54286561484557,-0.0613435930842305,0.926874227341776,-0.0661832978786782,0.947231893979324,0.967659966378067
"arg-2",3.4721014484127,-1.36149456530499,1.56896059970993,-0.867768486701773,0.38552108489856,0.50907536337026
"arg-4",6.41693248738202,0.640663371933436,1.12117387663244,0.571421958079985,0.567713648044855,0.676576106672389
"arg-5",6.89170177316856,1.55780786690824,0.958375137527821,1.62546773795352,0.104062932717472,0.184960004814887
"arg-6",4.93467803878408,-0.265448707420494,1.1297032090165,-0.23497207523345,0.814230407221339,0.878318541061931
"aro-1",6.7849287622279,-1.28483938870544,1.22440305804045,-1.0493598331596,0.294012537520443,0.416694877473752
"aro-3",9.92381510115172,1.53320869882459,0.740720929733944,2.06988710225225,0.0384629180306104,0.0800092176422187
"aro-6",6.14477583534278,-1.1090630829806,1.06713687904639,-1.03928849687181,0.298670583056477,0.421098077349703
"aro-7",27.9291201136714,0.89906450223106,0.418473570989254,2.14843795297684,0.031678980492474,0.0679812235682217
"aro-8",31.1013769873675,3.64061606882073,0.588020447741148,6.19130862337523,5.96667512905716e-10,5.03741543790496e-09
"arp-3",317.439719475816,0.581610693165579,0.455249775413983,1.27756393210011,0.201403224758153,0.311460114010308
"arp-5",6.60281102869943,-2.18887255936044,0.968563136564298,-2.2599172699519,0.0238263858636105,0.053607469373721
"arp2",11.9114812371805,-2.51826711481709,0.971219345460728,-2.59289225094921,0.00951725826731784,0.024560441992954
"ars-1",13.7188982877968,0.848791570594406,0.835914987539046,1.01540417775409,0.309913202412466,0.433745054696014
"asd-1",31.506399340023,-0.2446891632738,0.623850020426482,-0.39222434120708,0.694892460457649,0.785027046948141
"asd-3",809.154858358524,-5.39267610310788,0.406952270399305,-13.2513724467406,4.43026529314769e-40,3.86034721469585e-38
"asd-4",10.529915167369,0.936413529763559,0.521677476442048,1.79500471469479,0.0726529487668777,0.137438893700515
"asf-1",28.6323548705136,-1.63647062149049,0.514462275794229,-3.18093414908625,0.00146800994249959,0.00474414568414016
"Asm-1",13.9770779691693,2.35822997468574,0.401537921364624,5.87299442770264,4.27992864991329e-09,3.30139195749596e-08
"asn-2",12.2603422305315,3.67788919700379,0.672888119590099,5.46582572931179,4.60756846498691e-08,3.12995363097956e-07
"atg-8",17.6871051960997,-1.09986177708151,0.584791985717796,-1.88077436754113,0.060002618384694,0.116748612825823
"atp-1",23.1679921190768,-1.63679229659117,0.584857053404524,-2.79861940120787,0.00513215907852596,0.014431385966628
"atp-2",38.307599570945,-2.30220739334125,0.475747732094234,-4.83913477255472,1.30405596794188e-06,7.38093586345932e-06
"atrx",4.72654079853012,-1.76317546911304,1.142194470756,-1.54367361623281,0.122667421043537,0.211013077681034
"bdp-2",8.0353194340614,-2.14417195911709,0.986345543165252,-2.17385476517315,0.0297160441169217,0.0646933495919905
"bdp-3",335.357416591332,2.01292406731613,0.272285775825378,7.3926890276011,1.43888728153599e-13,1.76313653352101e-12
"bek-1",2.00828664826172,6.43241399505898,4.4917875742735,1.43203877937156,0.152132723401416,0.251339270047085
"bio-1",17.4316063793045,-0.0230539948762328,0.627683202780503,-0.0367287108753405,0.970701316114409,0.98356251132865
"bli-4",94.3887823685149,-1.30003200803589,0.318988677715548,-4.07548009962652,4.59195093596399e-05,0.000201931400037594
"Bml",17.9970799784351,-2.392570340841,0.799247290953575,-2.99352949696763,0.00275770850375691,0.00825791540921353
"bni1",12.2229956379456,-0.612203915134928,0.733604776986182,-0.83451462468661,0.403991049681012,0.526957831943926
"bud3",5.14352304106141,0.598124628861442,0.967037807449117,0.618512145289535,0.536237794333936,0.650303496977477
