"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.42901.43200",1.18182814764445,0.26138765095652,-0.229930120504214,-1.07432548190309,0.35898450987697,-0.539773692410533
"CM002236.1.90901.91200",1.01104210452897,0.4604071572393,0.98520027521237,-0.55638708206856,0.516162318527367,-1.37065471900569
"CM002236.1.216601.216900",1.34291554082841,0.780337249633766,0.500222804332157,0.137291906697958,1.36723131530696,-1.27855345783262
"CM002236.1.216901.217200",1.06349908941551,0.580685099645592,0.551750199449821,0.243677439915226,1.38254040174007,-0.726738369885169
"CM002236.1.217201.217500",1.00378455993407,1.09184145979585,0.718926910141367,-0.123683498429694,1.26724281702825,-1.20576206459763
"CM002236.1.224101.224400",1.03042533306193,0.524365068931254,1.0329453673919,0.597490097460671,0.813844481941066,-0.154020846859307
"CM002236.1.246301.246600",1.36397304005463,0.85439918766634,0.905871224551646,0.855939323830331,1.23709089679755,-0.772889957778796
"CM002236.1.246601.246900",1.13969221733249,0.285094079393596,0.670714079975773,0.332944467991031,0.56916010997062,-0.599168776798602
"CM002236.1.246901.247200",2.08861041936307,0.853400814273435,0.607280888657277,1.053786340857,1.57990882822076,-0.0600104982357636
"CM002236.1.247501.247800",1.07922143777508,0.816808362079447,0.448137446629651,0.598296653042738,1.6830263687631,-0.729950815374127
"CM002236.1.247801.248100",1.85940480290211,1.73017162630663,0.799783517829759,0.846222528031773,1.8945874309443,-0.339741093565873
"CM002236.1.248101.248400",1.09982912182116,1.19642036174328,0.984749481856641,0.834186021508282,1.59995904240036,-0.853389540995873
"CM002236.1.255301.255600",1.37627477716733,1.21892583889902,1.36050517942515,1.08604419583412,1.42139252280609,0.908757042874189
"CM002236.1.255601.255900",0.704029762888974,0.62291273560227,0.933099343046647,0.973816770156382,0.807037817734643,-0.306588285884051
"CM002236.1.255901.256200",1.30791981577903,1.05794937654023,0.864253790470615,0.914906500717265,1.57333017422505,1.09268926088115
"CM002236.1.256201.256500",1.69965222936699,1.906983976626,1.75169014377031,1.68254511344547,1.90012883185979,0.699166080814589
