"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.290701.291000",-1.855726641924,-1.84745981533721,-1.58111679648248,-1.2573976720431,-1.22165274344145
"CM002236.1.291001.291300",-1.45808747562216,-1.70605170367245,-1.81342205030239,-1.08992387600363,-1.94616834286296
"CM002236.1.291301.291600",0,-1.79021982573866,-1.23700738557748,-1.00673851093828,0
"CM002236.1.292201.292500",0,-1.3651315569862,-1.15678576372914,0,0
"CM002236.1.292501.292800",-1.78993570664065,-1.93374296107124,-1.67355758630062,-0.938408173378134,0
"CM002236.1.292801.293100",-1.57942590761433,-1.37615572166711,-1.15877376691312,0,0
"CM002236.1.297901.298200",-1.92798285718454,-1.60254621037919,-1.69892024279354,-1.49807341147278,-1.67809029309978
"CM002236.1.298201.298500",-1.82483138971322,-1.74763033818644,-2.0692307892511,-1.43957587265582,-1.54123730262842
"CM002236.1.301501.301800",-1.14239709025838,-1.82368748517685,-1.21491182231149,-1.63490166781528,0
"CM002236.1.301801.302100",0,-1.70083975345235,-1.07962906781198,-1.38332506832377,0
"CM002236.1.8867701.8868000",-1.30706087573307,-1.29761584704507,-1.34379298775285,-1.27101869830532,-1.5850788644687
"CM002236.1.8868001.8868300",-1.6391885952158,-1.43668878833928,-1.31997755507758,-2.43149598097181,-1.85868842159945
"CM002236.1.8868301.8868600",-1.75277983146553,-1.41353029262224,0,-1.9329115200431,0
"CM002236.1.9651601.9651900",0,0,0,0,0
"CM002236.1.9651901.9652200",0,0,0,0,0
"CM002236.1.9652201.9652500",0,0,0,0,0
"CM002236.1.9688801.9689100",0,0,0,0,0
"CM002236.1.9689101.9689400",0,-1.05314477242317,0,-0.922454781645289,0
"CM002236.1.9689401.9689700",0,0,0,0,0
"CM002236.1.9690601.9690900",0,0,0,0,0
"CM002236.1.9690901.9691200",0,0,0,0,0
"CM002236.1.9691201.9691500",0,-1.43033816392322,0,-1.30672337155225,0
"CM002236.1.9693601.9693900",0,0,0,0,0
"CM002236.1.9693901.9694200",0,0,0,0,0
"CM002236.1.9694201.9694500",0,0,0,0,0
"CM002236.1.9758701.9759000",-4.55141701220719,-6.08944472671805,-4.55628938227514,-6.07040999507019,-6.80579860041447
"CM002236.1.9759001.9759300",-5.65996236821318,-6.32802181823036,-8.85871031842836,-6.45859441724826,-5.53223155792166
"CM002236.1.9772201.9772500",0,1.5119690818724,0,0,0
"CM002236.1.9772501.9772800",0,0,0,0,0
"CM002236.1.9772801.9773100",0,0,0,0,0
"CM002237.1.10801.11100",0,-1.08803343350234,0,0,0
"CM002237.1.11101.11400",0,0,0,0,0
"CM002237.1.11401.11700",0,0,0,0,0
"CM002237.1.11701.12000",0,0,0,0,0
"CM002237.1.13501.13800",-2.07272832318921,-2.45215045585776,-2.11335713691268,-1.5212857849245,0
"CM002237.1.13801.14100",0,-3.378777204312,-2.6865924492446,-2.58459601686605,-2.46967290982517
"CM002237.1.18301.18600",0,0.802796658410434,0.931983646469139,1.23923389836806,1.014987484888
"CM002237.1.18601.18900",0,0,0,0,0
"CM002237.1.35701.36000",0,-1.46270068070543,-1.08433851787918,-1.23924263400786,0
"CM002237.1.36001.36300",-1.26838918705039,-1.29812986017218,-1.31425971825751,-1.08375090641638,-1.21571415287466
"CM002237.1.36301.36600",-1.3620188378396,-1.49991772593324,-0.992916411687322,-1.15012425058878,0
"CM002237.1.38401.38700",0,1.0221863638187,0,1.09811401586902,0
"CM002237.1.38701.39000",0,1.35390237303922,1.02271901475191,1.21871505620954,1.38780685534892
"CM002237.1.41401.41700",0,0,0,-1.35793735815453,0
"CM002237.1.41701.42000",0,-1.52775571584239,-1.01498957589333,-1.50809514212947,0
"CM002237.1.42001.42300",0,-1.26162647645176,0,-1.17123304485623,0
"CM002237.1.51001.51300",0,0,0,0,0
"CM002237.1.51301.51600",0,-1.341951809396,0,0,0
"CM002237.1.51601.51900",0,0,0,0,0
"CM002237.1.55501.55800",0,-1.11888583881287,0,-1.05220899212206,0
"CM002237.1.55801.56100",-1.35706583834782,-1.54400459900983,-1.11663020147268,-0.960016181042295,0
"CM002237.1.69601.69900",0,-1.64053887333334,-1.48779834883341,-1.76508067872984,0
"CM002237.1.69901.70200",0,-1.36841744577108,0,0,0
"CM002237.1.74401.74700",0,0,0,-0.985994537349901,0
"CM002237.1.74701.75000",0,-1.12020609272177,0,-1.16982146192433,0
"CM002237.1.75001.75300",-1.40992796671442,0,0,-1.33299661328014,0
"CM002237.1.75601.75900",0,-0.980654282155651,0,0,0
"CM002237.1.75901.76200",0,-0.967634935524352,0,0,0
"CM002237.1.106201.106500",-0.936813928669646,-1.20493645173134,-1.2104409793522,-1.95596947184713,0
"CM002237.1.106501.106800",0,-1.46195639742575,0,-1.4964759572286,0
"CM002237.1.148501.148800",-1.03390601859419,-1.56086710580227,-0.978873511842955,-1.28076738997984,0
"CM002237.1.148801.149100",-0.927710828503476,-1.27713855152365,0,-0.904501300498425,0
"CM002237.1.561901.562200",-1.75768394944277,-2.14394174456818,-1.7351512673387,-1.81575810510437,-1.59322618920089
"CM002237.1.562201.562500",-1.06969560325817,-1.19487388125046,0,0,-1.5851295416795
"CM002237.1.562501.562800",0,0,0,0,0
"CM002237.1.563701.564000",0,-1.14137990128722,-0.973121506953092,-1.28298791012833,0
"CM002237.1.564001.564300",-1.0398474723389,-1.50105296568241,-1.13425064020625,-1.10717470484464,0
"CM002237.1.567601.567900",-1.62604167656958,-2.16965709194703,-1.74651151453851,-2.42404404619903,-1.13947667786618
"CM002237.1.567901.568200",-1.04877034687415,-1.71812906882736,-0.995271927363777,-1.63249983016221,0
"CM002237.1.568201.568500",-1.23967037644849,-1.94036251370361,-1.11233870598665,-2.04178270919889,-1.7630027014797
"CM002237.1.570601.570900",-1.34907472626753,-1.66345367788122,-1.26292248738193,-1.3604023508746,0
"CM002237.1.570901.571200",-1.04260608688139,-1.80042323028809,-1.13467005371111,-1.8765182880322,0
"CM002237.1.584401.584700",-1.37225262324664,-1.39227178542002,-1.08719709311125,-1.42393440553267,0
"CM002237.1.584701.585000",-1.07923189073667,-1.63959430391118,-1.19002154479579,-1.08064354624548,-1.13173346022371
"CM002237.1.1678801.1679100",0,-1.06025510590246,0,-1.24725191758892,0
"CM002237.1.1679101.1679400",-1.4790365063274,-1.25011489632477,0,-1.01611878784632,0
"CM002237.1.1679701.1680000",-1.2874678705553,-2.01982754604957,-1.08091445812609,-1.89288577690988,-1.37015650323814
"CM002237.1.1680001.1680300",-2.01944379781144,-1.78538110644837,-1.37013422101796,-2.25648015279026,-1.75332504142513
"CM002237.1.1684801.1685100",-2.0882852156157,-1.20099960793103,0,0,-1.35861674975635
"CM002237.1.1685101.1685400",-1.71871016154866,-1.10881852289674,-1.33031772184511,-1.72994314214629,-1.74454011560095
"CM002237.1.1685401.1685700",-1.49255446533101,-1.76578725362708,-1.21121254472993,-1.69647668256799,-1.40229224463734
"CM002237.1.4046401.4046700",-1.66064629612558,-1.46476637502733,-0.987660207405376,-1.17039068467719,-1.42185204791812
"CM002237.1.4046701.4047000",0,-1.15143379513013,-0.986345178257774,-0.918978005128771,-1.1893981017303
"CM002237.1.4165501.4165800",-1.13065392499814,-1.41570550787306,0,-1.63300238846559,0
"CM002237.1.4165801.4166100",-1.1540752180458,-1.71326262817489,-1.45626567578466,-1.74271889878347,0
"CM002237.1.4297501.4297800",-1.48337632555206,-0.958846173578988,-0.955491927195313,0,0
"CM002237.1.4297801.4298100",-1.2573008957297,-1.08715507309775,-1.38862251221647,0,-1.44527912221536
"CM002237.1.4298101.4298400",-1.41943391100706,0,0,0,0
"CM002237.1.4449001.4449300",0,-0.90835593325826,0,0,0
"CM002237.1.4449301.4449600",0,-1.24789646784344,0,-1.12299570063861,0
"CM002237.1.4452601.4452900",0,0,0,-1.10106968959311,0
"CM002237.1.4452901.4453200",0,-1.55993041236986,0,-1.51001904472915,0
"CM002237.1.4465501.4465800",-0.95549092136714,-1.28467070331496,0,-1.46268602836435,0
"CM002237.1.4465801.4466100",0,0,0,0,0
"CM002237.1.4467901.4468200",0,0,0,0,1.26447878362609
"CM002237.1.4468201.4468500",0,0,0.947443426172095,0,1.21312059970406
"CM002238.1.8401.8700",0,-3.24887654541755,-3.48938516608848,-2.79861834163496,-3.25206401853125
"CM002238.1.8701.9000",-2.25491515233797,-3.25286778321967,0,-4.27864362215688,-2.65039376783575
"CM002238.1.12001.12300",0,0,0,0,0
"CM002238.1.12301.12600",1.0366035488473,0,1.1558439650331,1.1196912010146,1.42440237115095
"CM002238.1.28201.28500",0,0,0,0,0
"CM002238.1.28501.28800",0,0,0,0,0
"CM002238.1.28801.29100",0,0,0,0,0
"CM002238.1.30601.30900",-1.6331977302957,-1.25124004286907,-1.50547435869863,-1.37800814537879,-1.64578898808327
"CM002238.1.30901.31200",0,-1.1163188683281,0,0,0
"CM002238.1.31201.31500",0,0,0,0,0
"CM002238.1.161701.162000",-1.28007476012054,-1.69268014050305,-1.30943554409979,-1.36129265724305,-1.39542916852938
"CM002238.1.162001.162300",-1.43596508673556,-1.80825761658038,-1.43422528995889,-1.01986343170724,-1.24416947445157
"CM002238.1.162901.163200",-1.36734289876817,-1.90142893941075,0,-1.40378950600567,-1.11583071602441
