"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.367974.369313",0,0,0,0,0
"CM002236.1.377664.380825",0,0,0,0,0
"CM002236.1.381417.384072",0,-0.723780012132706,0,-0.636212806820627,0
"CM002236.1.386938.388761",0,0.84421833529754,0,0.975790708315955,0
"CM002236.1.388863.392501",0,0,0,0,0
"CM002236.1.393033.393131",0,0,0,0,0
"CM002236.1.393676.395053",0,-0.75904030018621,0,-0.886757546086779,0
"CM002236.1.397224.398634",-1.11862630305257,-1.19424764982242,-0.904687094980525,-1.14008780923059,0
"CM002236.1.400254.401476",-0.846178824665975,-1.20833793948958,0,-0.981297858787663,0
"CM002236.1.402098.406298",0,-0.803181060299989,0,-0.798289552300977,0
"CM002236.1.406509.408008",0,0,0,0,0
"CM002236.1.408523.415263",-0.842896797704987,-1.0651096943721,0,-1.0311237355832,0.922363525337228
"CM002236.1.417351.419464",0,0,0,0,0
"CM002236.1.420029.420109",0,0,0,0,0
"CM002236.1.420176.421612",0,0,0,0,0
"CM002236.1.421556.423435",0,0,0,0,0
"CM002236.1.423884.427947",0,-0.689614511935158,0,-0.795618467832626,0
"CM002236.1.429104.431229",0.671002015753176,0.675396079505409,0,0,0
"CM002236.1.437278.441935",0,0,0,0,0
"CM002236.1.441088.441910",0,-1.16322310567356,0,-1.13955311133748,0
"CM002236.1.442099.442171",0,0,0,0,0
"CM002236.1.448858.451692",-0.720264733279293,-0.754323758076339,0,-0.952409550352753,0
"CM002236.1.453918.454759",0,1.12764297330289,0,0.779347171489135,0
"CM002236.1.455181.456143",0,0,0,0,0
"CM002236.1.456741.461929",0,0,0,-0.777363444638669,0
"CM002236.1.464410.467155",0,-0.769759537336672,0,-0.938709159648312,0
"CM002236.1.467140.469295",0,-0.741214402954001,0,-1.0912243036942,0
"CM002236.1.474068.478709",0,-0.627935577997682,0,0,0
"CM002236.1.479575.482143",-1.16933773329034,-1.40188973670066,-1.07691132330537,-1.40202140905741,-0.914002097884543
"CM002236.1.486621.490547",-1.17924105923385,-1.22202289193134,-1.05654366736749,-1.29806491705931,-0.983743640958909
"CM002236.1.491365.493798",0,0,0,0,0
"CM002236.1.494637.499251",0,-0.907017343557265,0,-1.05185547644998,0
"CM002236.1.502477.504670",0,-1.25106149257611,0,-1.1510575628105,0
"CM002236.1.507933.509018",-0.901023081320794,-0.901902617016433,0,-1.05227582982214,0
"CM002236.1.512383.513927",0,0,0,0,0
"CM002236.1.514505.519273",0,0,0,0,0
"CM002236.1.519492.521645",0,0,0,0,0
"CM002236.1.521931.523738",0,0,0,0,0
"CM002236.1.530628.533414",0,0,0,0,0
"CM002236.1.535654.538185",0,0,0,0,0
"CM002236.1.537095.538676",0,0,0,0,0
"CM002236.1.539195.541680",0.763865180951401,0.721270713141933,0,0.599156459858747,0
"CM002236.1.541585.543147",0,-0.802285386255745,0,-1.02152720168007,0
"CM002236.1.543681.546443",-1.08537370608148,-1.60127227625519,-1.10411949759654,-1.73514557585506,-0.87365782823449
"CM002236.1.547789.548753",-1.58017636033302,-1.84855152072156,-1.29578799627987,-1.85555792370005,-1.10696424835586
"CM002236.1.549632.552479",0,-0.820881318530465,0,-1.03176549873756,0
"CM002236.1.552867.555385",0,0,0,0,0
"CM002236.1.555963.558250",0,0,0,-0.833711159070186,0
"CM002236.1.559255.560671",-0.807858397054846,-1.12226583301245,-0.81316478938625,-1.57292311236591,0
"CM002236.1.560707.562798",0,0,0,0,0
"CM002236.1.563725.566109",0,0,0,-0.935822201488808,0
"CM002236.1.565190.567401",0,0,0,-0.724063850423867,0
"CM002236.1.568087.569942",-1.05616824049647,-1.1281787724569,0,-1.31952688534883,0
"CM002236.1.570731.573135",0,0,0,0,0
"CM002236.1.574310.576289",0,0,0,0,0
"CM002236.1.576061.577864",0,0,0,0,0
"CM002236.1.578782.581444",0,0,0,0,0
"CM002236.1.582487.583595",0,0,0,-0.934359419103742,0
"CM002236.1.584436.585580",-1.28166243684501,-1.80606791598785,-1.12280392593828,-1.87766691286786,-1.12053500244901
"CM002236.1.587089.588592",-1.0910124260835,-1.31961694541129,-1.09919104810203,-1.48721956195254,-0.917826452579006
"CM002236.1.593882.596976",0,0.731019158674436,0,0,0
"CM002236.1.597622.600826",0,0,0,0,0
"CM002236.1.599619.602122",0,0,0,0,0
