"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002237.1.567601.567900",0,0,0,0,-2.3838458584812
"CM002237.1.570301.570600",0,0,0,0,0
"CM002237.1.584701.585000",0,0,0,0,-2.2722769954813
"CM002237.1.585001.585300",0,0,0,0,-2.01085835887309
"CM002237.1.1678501.1678800",0,0,0,0,-1.79788478480152
"CM002237.1.1680301.1680600",0,0,0,0,-2.12259107060392
"CM002237.1.1684501.1684800",0,0,0,0,-1.98468231102298
"CM002237.1.1685701.1686000",0,0,0,0,0
"CM002237.1.4046101.4046400",0,0,0,0,-1.81616327602523
"CM002237.1.4165201.4165500",0,0,0,0,-1.37834645117935
"CM002237.1.4298101.4298400",0,0,-1.98076085309263,0,0
"CM002237.1.4298401.4298700",0,0,-1.73021332302956,0,-1.87723249519152
"CM002237.1.4448701.4449000",0,0,0,0,-2.17637235930015
"CM002237.1.4449001.4449300",0,0,0,0,-2.54902562066439
"CM002237.1.4452301.4452600",0,0,0,0,0
"CM002237.1.4466101.4466400",0,0,0,0,0
"CM002237.1.4468201.4468500",0,0,0,0,0
"CM002237.1.4468501.4468800",0,0,0,0,0
"CM002238.1.9001.9300",0,0,0,0,0
"CM002238.1.12601.12900",0,0,0,0,0
"CM002238.1.28801.29100",0,0,0,0,0
"CM002238.1.29101.29400",0,0,0,0,0
"CM002238.1.31201.31500",0,0,0,0,0
"CM002238.1.31501.31800",0,0,0,0,0
"CM002238.1.161401.161700",0,0,0,0,-1.95569417356449
"CM002238.1.163501.163800",0,0,-1.93397408121851,0,-2.10149454967629
"CM002238.1.163801.164100",0,0,0,0,-1.50657484008647
"CM002238.1.166801.167100",0,0,0,0,-1.96122932117102
"CM002238.1.167101.167400",0,0,0,0,-1.43572029371252
"CM002238.1.200101.200400",0,0,-2.25801407566952,0,0
"CM002238.1.219001.219300",0,0,0,0,-2.17894981885211
"CM002238.1.219301.219600",0,0,0,0,0
"CM002238.1.221401.221700",0,0,0,0,-1.7335985589418
"CM002238.1.221701.222000",0,0,0,0,-2.41975501548126
"CM002238.1.223801.224100",0,0,0,0,-1.78013634011372
"CM002238.1.224101.224400",0,0,0,0,0
"CM002238.1.225301.225600",0,0,-2.03752402278911,0,-2.19095794141861
"CM002238.1.225601.225900",0,0,0,0,-1.53324319097212
"CM002238.1.229201.229500",0,0,0,0,-1.58219427022654
"CM002238.1.229501.229800",0,0,0,0,-1.60548933480116
"CM002238.1.233701.234000",0,0,0,0,-1.83208225073287
"CM002238.1.234001.234300",0,0,0,0,-1.53785179585231
"CM002238.1.234601.234900",0,0,0,0,-1.70560151967316
"CM002238.1.234901.235200",0,0,0,0,-1.76888226757001
"CM002238.1.238201.238500",0,0,0,0,0
"CM002238.1.238501.238800",0,0,-2.95717032073887,0,0
"CM002238.1.239101.239400",0,0,0,0,0
"CM002238.1.239401.239700",0,0,0,0,0
"CM002238.1.243601.243900",0,-1.7284120937169,-2.58831103284299,0,-2.68468692480627
"CM002238.1.243901.244200",-1.8021232121994,-2.09959868190851,-2.99677778899093,0,-2.10293023091907
"CM002238.1.247201.247500",0,0,0,0,-1.47399366965705
"CM002238.1.247501.247800",0,0,0,0,-1.78828595633534
"CM002238.1.252001.252300",0,0,-1.60064909341227,0,0
"CM002238.1.252301.252600",0,0,0,0,0
"CM002238.1.264301.264600",0,0,0,0,-2.08503045787649
"CM002238.1.264601.264900",0,0,0,0,-2.24258939573211
"CM002238.1.266401.266700",0,0,0,0,0
"CM002238.1.266701.267000",0,0,0,0,0
"CM002238.1.268801.269100",0,0,0,0,0
"CM002238.1.271801.272100",0,0,0,0,-1.46307977004554
"CM002238.1.272101.272400",0,0,0,0,-2.14429278472613
"CM002238.1.273301.273600",0,0,0,0,-1.9642454041763
"CM002238.1.273601.273900",0,0,0,0,-2.27614086906692
"CM002238.1.274501.274800",0,0,0,0,0
"CM002238.1.274801.275100",0,0,0,0,-1.92836531519752
"CM002238.1.276301.276600",0,0,0,0,0
"CM002238.1.276601.276900",0,0,0,0,0
"CM002238.1.279001.279300",0,0,0,0,0
"CM002238.1.279301.279600",0,0,0,0,0
"CM002238.1.280501.280800",0,0,0,0,-1.53775329665914
"CM002238.1.280801.281100",0,0,0,0,-2.01080645087865
"CM002238.1.285001.285300",0,0,0,0,0
"CM002238.1.285301.285600",0,0,0,0,0
"CM002238.1.290701.291000",0,0,0,0,-1.85159103116907
"CM002238.1.291001.291300",0,0,0,0,0
"CM002238.1.291601.291900",0,0,0,0,0
"CM002238.1.291901.292200",0,0,0,0,0
"CM002238.1.295201.295500",0,0,0,0,-1.68850436228543
"CM002238.1.295501.295800",0,0,0,0,-1.76394461545469
"CM002238.1.298501.298800",0,0,0,0,-2.03814977909186
"CM002238.1.299701.300000",0,0,0,0,-2.68856383167385
"CM002238.1.343501.343800",0,0,0,0,-2.47322365015369
"CM002238.1.344401.344700",0,0,0,0,-2.53931884170215
"CM002238.1.344701.345000",0,0,0,0,-2.54181208026706
"CM002238.1.381901.382200",0,0,0,0,-2.0677703272671
"CM002238.1.382201.382500",0,0,0,0,-2.48710387402943
"CM002238.1.385801.386100",0,0,0,0,-1.92796695830466
"CM002238.1.386101.386400",0,0,0,0,-1.49085935658605
"CM002238.1.386701.387000",0,0,0,0,-2.44014781846789
"CM002238.1.387001.387300",0,0,0,0,-1.60839105037141
"CM002238.1.390301.390600",0,0,0,0,0
"CM002238.1.393001.393300",0,0,0,0,-1.73836166063867
"CM002238.1.394201.394500",0,0,0,0,-2.64408217081749
"CM002238.1.396001.396300",0,0,0,0,-2.42774851162374
"CM002238.1.396301.396600",0,0,0,0,-2.09385143217013
"CM002238.1.398701.399000",0,0,0,0,-1.94373992103859
"CM002238.1.399001.399300",0,0,0,0,-2.25014000571538
"CM002238.1.400801.401100",0,0,0,0,0
"CM002238.1.401101.401400",0,0,0,0,0
"CM002238.1.401701.402000",0,0,0,0,0
"CM002238.1.402001.402300",0,0,0,0,0
"CM002238.1.426301.426600",0,0,0,0,0
"CM002238.1.426601.426900",0,0,0,0,0
"CM002238.1.428401.428700",0,0,0,0,-2.0340686788237
"CM002238.1.428701.429000",0,0,0,0,-1.74133393178446
"CM002238.1.429901.430200",0,0,0,0,-1.89330253265368
"CM002238.1.430201.430500",0,0,0,0,-1.62841526881861
"CM002238.1.449401.449700",0,0,0,0,-2.10236072618706
"CM002238.1.452401.452700",0,0,0,0,-1.7161918695813
"CM002238.1.452701.453000",0,0,0,0,-1.60053093456592
"CM002238.1.454201.454500",0,0,0,0,0
"CM002238.1.455401.455700",0,0,0,0,0
"CM002238.1.456901.457200",0,0,0,0,-1.27059148011331
"CM002238.1.459301.459600",0,0,0,0,-2.33292199311631
"CM002238.1.459601.459900",0,0,0,0,-2.13852620966405
"CM002238.1.555001.555300",0,0,0,0,-1.97574638497437
"CM002238.1.4575301.4575600",0,0,0,0,-2.29924225499865
"CM002238.1.4575601.4575900",0,0,0,0,-1.77144375167763
