"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.180301.180600",0,0,0,0,0
"CM002236.1.180601.180900",0,0,0,0,0
"CM002236.1.180901.181200",-1.05046575090703,-1.69281388279907,0,-1.39874861162855,0
"CM002236.1.181201.181500",0,-1.03897483194739,0,0,0
"CM002236.1.181501.181800",-1.32959818545372,0,0,0,0
"CM002236.1.182701.183000",0,-1.0164589487929,0,-1.13685741815393,0
"CM002236.1.183001.183300",0,-1.22213296913051,0,-1.05055711832131,0
"CM002236.1.183301.183600",0,0,0,-1.4006479535532,0
"CM002236.1.183601.183900",0,-1.35647438101605,0,0,0
"CM002236.1.183901.184200",0,-1.12486547678235,0,-1.16056490564097,0
"CM002236.1.184201.184500",-1.01899854281532,-0.908199318009169,0,-1.20367040894389,0
"CM002236.1.184501.184800",-1.30381462810539,0,0,-1.07841063648343,0
"CM002236.1.184801.185100",-1.16696890977234,0,0,-1.29999586996274,0
"CM002236.1.185101.185400",-1.02498866439074,0,-1.51991248777833,0,0
"CM002236.1.185401.185700",0,0,0,0,0
"CM002236.1.185701.186000",0,0,0,0,0
"CM002236.1.186001.186300",0,0,0,0,0
"CM002236.1.186301.186600",0,0,0,0,0
"CM002236.1.186601.186900",0,0,0,0,0
"CM002236.1.186901.187200",0,0,0,0,0
"CM002236.1.187201.187500",0,0,0,0,0
"CM002236.1.187501.187800",0,-0.944715717480674,0,0,0
"CM002236.1.187801.188100",-1.09619970833631,-0.921849988652883,0,0,0
"CM002236.1.188701.189000",-1.06705678700265,-1.03760518125363,0,0,0
"CM002236.1.189001.189300",-1.08739417933107,0,0,0,0
"CM002236.1.189301.189600",0,0,0,0,0
"CM002236.1.189601.189900",0,-0.963146495907106,0,-0.963222488189168,0
"CM002236.1.189901.190200",-1.64373573481057,-1.04797745379349,-1.32747683909429,-1.53236345469338,-1.7961427432085
"CM002236.1.190201.190500",-0.946899290039335,-0.939016955821502,0,0,0
"CM002236.1.190501.190800",-1.12087178815798,-0.938377053419579,0,0,0
"CM002236.1.190801.191100",0,0,0,0,0
"CM002236.1.193201.193500",-1.22394866291809,0,0,0,0
"CM002236.1.193501.193800",-1.20583546355318,-0.881221072979406,0,0,0
"CM002236.1.193801.194100",-1.01610881354298,0,0,0,0
"CM002236.1.194101.194400",0,0,0,0,0
"CM002236.1.194401.194700",0,0,0,0,0
"CM002236.1.194701.195000",0,0,0,0,0
"CM002236.1.195301.195600",-1.03677635162305,0,0,0,0
"CM002236.1.195601.195900",0,0,0,0,0
"CM002236.1.195901.196200",-1.09903689517661,0,0,0,0
"CM002236.1.196201.196500",0,0,0,0,0
"CM002236.1.196501.196800",0,0,0,0,0
"CM002236.1.196801.197100",0,0,0,0.94206618426409,0
"CM002236.1.197401.197700",0,0,0,0,0
"CM002236.1.197701.198000",0,0,0,0,0
"CM002236.1.198001.198300",-1.27167364956986,0,0,0,0
"CM002236.1.208501.208800",-2.56576907277413,-1.66903638547237,-1.2683684737849,-1.52913427224107,-1.21575179589187
"CM002236.1.208801.209100",-1.54585648506864,-0.980583020537574,-1.07248293113018,0,0
"CM002236.1.209101.209400",0,0,0,0,0
"CM002236.1.209401.209700",0,0,0,0,0
"CM002236.1.209701.210000",0,0,0,1.06087469644489,0
"CM002236.1.210001.210300",0,0,0,1.20138696307116,0
"CM002236.1.210301.210600",0,0,0,0,0
"CM002236.1.210601.210900",-1.69157277163542,-1.11063775246485,0,0,0
"CM002236.1.210901.211200",-1.14444829089071,0,0,0,0
"CM002236.1.211201.211500",0,0,0,0.89230885358754,0
"CM002236.1.211501.211800",0,0,0,0,0
"CM002236.1.211801.212100",0,0,0,0,0
"CM002236.1.212101.212400",0,0,0,0,0
"CM002236.1.213901.214200",-1.27045693811377,0,0,0,0
"CM002236.1.214201.214500",0,0,0,0,0
"CM002236.1.214501.214800",-1.24501171901502,0,0,0,0
"CM002236.1.214801.215100",-1.2871034333098,-1.34081337819871,0,-1.27598165671238,0
"CM002236.1.215101.215400",-1.32501762651314,-1.2801745593813,0,0,0
"CM002236.1.215401.215700",-1.02507626935172,0,0,-1.12258304371996,0
"CM002236.1.216301.216600",-1.88962726183715,-1.58771271783807,-1.2757156110641,-1.69252483779614,-1.72543299024142
"CM002236.1.216601.216900",-1.0789483716504,-1.3360557129214,-1.32741407519533,-1.24314731184842,0
"CM002236.1.216901.217200",-1.29361691778191,-1.53597538194292,0,-1.62020667134006,0
"CM002236.1.217201.217500",-1.52517175073348,-1.69224296277503,-1.17959073026649,-1.44627148029632,0
"CM002236.1.219601.219900",0,0,0,0,0
"CM002236.1.219901.220200",0,-1.0005622277113,0,0,0
"CM002236.1.220201.220500",-1.15210648592917,0,0,0,0
"CM002236.1.220501.220800",-1.06559726123811,-0.978842124294034,0,0,0
"CM002236.1.220801.221100",-1.11462562723315,-1.24583773400371,-1.30272039560556,-1.21741755942231,0
"CM002236.1.221101.221400",-1.1760232988025,-1.14146840818722,-1.51606002859045,-1.24889716414866,-1.39424504625904
"CM002236.1.221401.221700",0,-1.32304419266099,-1.17596120855406,-1.43491220246691,0
"CM002236.1.223801.224100",-1.32099891621245,-1.91067106178813,-1.10251428627738,-1.58926689838722,0
"CM002236.1.224101.224400",-1.13505972767563,-1.48968100991057,0,0,0
"CM002236.1.224401.224700",0,-1.41080478995341,0,-1.03360243803351,0
"CM002236.1.243601.243900",-1.37120281267344,-0.958766980836332,-1.18660165629684,-1.68360495354964,0
"CM002236.1.243901.244200",0,-1.41675020917706,0,0,0
"CM002236.1.244201.244500",0,0,0,0,0
"CM002236.1.244501.244800",0,-1.00413526631652,0,0,0
"CM002236.1.244801.245100",0,-0.941997273220901,0,0,0
"CM002236.1.245101.245400",0,-1.23615985117794,0,0,0
"CM002236.1.245401.245700",-1.18483031552969,-1.66017746673838,0,0,0
"CM002236.1.245701.246000",-1.36849325799945,-1.66747828210793,0,-1.22178464300128,0
"CM002236.1.246001.246300",-1.07015034794686,-1.48036942044532,0,-1.07318727490048,0
"CM002236.1.246301.246600",-1.4336815484259,-1.75456688197382,-1.39452390409793,-1.18917537089239,-1.21297806496045
"CM002236.1.246601.246900",0,-1.18715665081547,0,0,0
"CM002236.1.246901.247200",0,0,0,0,0
"CM002236.1.247201.247500",-1.00466535823869,0,0,0,0
"CM002236.1.247501.247800",-1.0160462964967,0,0,0,0
"CM002236.1.247801.248100",0,0,0,0,0
"CM002236.1.248101.248400",0,-1.37540861220674,0,-0.989977640141115,0
"CM002236.1.249301.249600",0,-1.51082582030343,0,-1.37127241950318,0
"CM002236.1.249601.249900",0,-1.08182698786218,0,0,0
"CM002236.1.249901.250200",0,0,0,0,0
"CM002236.1.250201.250500",0,0,0,0,0
"CM002236.1.250501.250800",0,-1.21505731201656,0,0,0
"CM002236.1.250801.251100",-1.24149111913529,0,0,-1.4522078468265,0
"CM002236.1.251101.251400",0,-1.32389765074457,0,0,0
"CM002236.1.251401.251700",0,-1.12807346214234,0,0,0
"CM002236.1.251701.252000",0,0,0,-1.07300737835549,0
"CM002236.1.252001.252300",0,0,0,0,0
"CM002236.1.252301.252600",-1.10930741208612,0,0,0,0
"CM002236.1.252601.252900",0,0,0,0,0
"CM002236.1.255001.255300",0,-1.45139391182656,-1.34003584665282,-1.10132136955587,0
"CM002236.1.255301.255600",0,0,0,0,0
"CM002236.1.255601.255900",-1.25498329471798,-1.49102169296359,0,-1.65695415024903,0
"CM002236.1.255901.256200",0,-1.27567260468317,0,-1.20738388545327,0
"CM002236.1.256201.256500",-1.44967256870452,-1.7473495892489,-1.18903323399055,-1.64350032665089,0
"CM002236.1.256501.256800",-1.12236861717948,0,0,0,0
"CM002236.1.256801.257100",0,-1.37399011251979,0,0,0
"CM002236.1.257101.257400",-1.50117471947731,-2.02335539643922,-2.01513394560646,-2.08110855183241,0
"CM002236.1.257401.257700",0,-1.46315575879573,-1.17392957318849,-1.62871196199141,0
"CM002236.1.257701.258000",0,0,0,-1.29145901088174,0
"CM002236.1.258001.258300",-1.2461139376513,-1.15697161754897,0,0,0
