"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NCU10129",613.51168009609,0.470642840830418,0.136164806404008,3.45642059251344,0.000547400464486307,0.00141193984838159,"NCU10129"
"NCU09901",395.68789825606,0.159087692754921,0.155546472297594,1.02276631803357,0.306418346834191,0.395444470023573,"NCU09901"
"NCU09903",1100.46746425567,0.402805647930606,0.168570286923719,2.38954121323221,0.0168694310497264,0.0312504594350295,"NCU09903"
"NCU11134",5.28580085594631,2.57990739244704,1.05894189234081,2.43630685602976,0.014838091218699,0.0279098117262826,"NCU11134"
"NCU09904",1589.39947879145,-0.00802896279167426,0.369540096285886,-0.0217269056115168,0.982665801261711,1,"NCU09904"
"NCU09906",6111.22775108458,-0.745073483342687,0.424872973501852,-1.7536382161513,0.0794925183362403,0.123842863269123,"NCU09906"
"NCU09907",42.516481755984,2.0873578410187,0.774327236542455,2.69570504886179,0.00702398317559873,0.0142993510122189,"NCU09907"
"NCU09908",2.15305491961471,1.966848941579,2.25297300238891,0.873001558160471,0.382662228426906,0.476357331216295,"NCU09908"
"NCU09909",2177.54130715499,3.58541357569254,0.34242580395069,10.4706290657022,1.17857171766885e-25,4.91240884045595e-24,"NCU09909"
"NCU09910",524.185128109222,-0.448500956131161,0.115685897269752,-3.87688531373331,0.000105802198429947,0.000310314606860051,"NCU09910"
"NCU09911",4718.10490687219,1.47334197244561,0.207376768653514,7.10466260040572,1.20616839423e-12,1.20992203031163e-11,"NCU09911"
"NCU09912",736.250816173298,0.333702873177387,0.0849304304327024,3.92913201401715,8.52530297662834e-05,0.000254679270262577,"NCU09912"
"NCU09913",295.913430583541,1.23625696641996,0.184877939903685,6.68688198853796,2.27975569296117e-11,1.95436503111121e-10,"NCU09913"
"NCU09914",124.089714591075,1.73913293237469,0.250209496785361,6.95070712630295,3.63459729236493e-12,3.4322808415204e-11,"NCU09914"
"NCU10501",13.9690308529221,0.0205648027119439,0.735153088431743,0.0279734969974941,0.977683289204517,1,"NCU10501"
"NCU08049",389.827990502616,0.210525576022435,0.114107403706197,1.84497735628526,0.0650408326011929,0.103889139619018,"NCU08049"
"NCU08050",230.464927362148,-0.110617965669584,0.187578779205472,-0.589714711536819,0.555381930519151,0.647443431961446,"NCU08050"
"NCU08051",472.169228314121,0.0590596289927905,0.157404369565764,0.375209590151278,0.707504598450351,0.784044174537577,"NCU08051"
"NCU16303",217.498328263963,-0.21811609278158,0.185059291114624,-1.17862816542662,0.238546271193392,0.321497204521269,"NCU16303"
"NCU08052",5564.58776410605,-5.90318311428718,0.513560936155027,-11.4946108605605,1.40412357265041e-30,8.70376599200607e-29,"NCU08052"
"NCU08053",1402.78620984491,0.21920422864355,0.12796188727233,1.71304310460065,0.0867046098786127,0.133721463720285,"NCU08053"
"gh3-2",2299.35632164913,-0.836705050557393,0.105654494605139,-7.91925657005314,2.38934858064167e-15,3.39779423158896e-14,NA
"NCU08055",11756.8253700156,-0.970146781553848,0.213788205041826,-4.53788730469975,5.68206096498875e-06,2.09875972236216e-05,"NCU08055"
"NCU08056",572.739968717216,-0.247413755116718,0.18654668077382,-1.32628334146935,0.18474586260268,0.258126353325808,"NCU08056"
"NCU08057",1236.64298356016,-2.07470409266883,0.201005701223015,-10.3216181433926,5.62667713322982e-25,2.2299167163251e-23,"NCU08057"
"NCU08058",83.882008295303,1.37205614917352,0.218850452059012,6.2693777246736,3.62493819365427e-10,2.58313576511693e-09,"NCU08058"
"NCU08059",0.299768823033065,-1.24409204115534,3.62510795690296,-0.343187583913557,0.731457344718568,0.803589243743303,"NCU08059"
"NCU08060",100.01533334378,-0.334723204942701,0.195981759240977,-1.70793040249797,0.0876492571579406,0.134898665719765,"NCU08060"
"NCU08062",111.877705806163,0.240201514428088,0.192121977581461,1.25025526726239,0.211206313546213,0.289918441833034,"NCU08062"
"NCU08063",953.470400642253,-0.530944598534033,0.0965514051952669,-5.49908722157118,3.81762273382497e-08,2.00197461150149e-07,"NCU08063"
