"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NCU10129",613.51168009609,0.980587281782719,0.134945751881466,7.26652946173549,3.68840800748597e-13,1.24361594952543e-12,"NCU10129"
"NCU09901",395.68789825606,0.66714521226412,0.154055104696717,4.33056219446611,1.48729129490295e-05,2.80681241641521e-05,"NCU09901"
"NCU09903",1100.46746425567,-1.93019509199999,0.181221606247114,-10.6510207693887,1.7246342771101e-26,1.33311058830173e-25,"NCU09903"
"NCU11134",5.28580085594631,3.37641882945851,1.03708591320358,3.25567900062271,0.00113121565067972,0.00178070248120998,"NCU11134"
"NCU09904",1589.39947879145,0.164358630017985,0.369672932934716,0.444605529307201,0.656604850916261,0.690148794386983,"NCU09904"
"NCU09906",6111.22775108458,-1.21317633393047,0.42505955829901,-2.85413258035019,0.00431545175717306,0.00637202908716804,"NCU09906"
"NCU09907",42.516481755984,5.32527704972253,0.607380894428258,8.76760711206654,1.82503384267859e-18,8.91317033267777e-18,"NCU09907"
"NCU09908",2.15305491961471,6.37856328942819,1.95038731801606,3.27040851348259,0.00107392273304213,0.00169409997202567,"NCU09908"
"NCU09909",2177.54130715499,-0.664784605358311,0.351442575968941,-1.89158813079341,0.0585458785412937,0.074886064218824,"NCU09909"
"NCU09910",524.185128109222,-0.394398737021774,0.117198567973435,-3.36521805548997,0.000764831889445856,0.00122368040551645,"NCU09910"
"NCU09911",4718.10490687219,1.19591648166676,0.207709902402881,5.75762863412799,8.53037617261586e-09,2.08726562725697e-08,"NCU09911"
"NCU09912",736.250816173298,-1.21634637559543,0.103942207171799,-11.702141109867,1.24277615462454e-31,1.29361091660057e-30,"NCU09912"
"NCU09913",295.913430583541,1.25527676523286,0.18692083090186,6.7155530990119,1.87354184732768e-11,5.60728866098998e-11,"NCU09913"
"NCU09914",124.089714591075,2.72996839814856,0.243011175471579,11.2339212089768,2.77867136776114e-29,2.5135408911366e-28,"NCU09914"
"NCU10501",13.9690308529221,0.444655028158483,0.696329324129181,0.638570016729601,0.523102691808164,0.562920435097368,"NCU10501"
"NCU08049",389.827990502616,0.570343524334339,0.111691113017412,5.10643603529518,3.28291667555089e-07,7.12748187080761e-07,"NCU08049"
"NCU08050",230.464927362148,0.28900056570875,0.184195113818053,1.5689914879839,0.116649922418245,0.142119787046042,"NCU08050"
"NCU08051",472.169228314121,-1.38157615523554,0.172127913474381,-8.02645037256648,1.00333393825697e-15,4.06461633135521e-15,"NCU08051"
"NCU16303",217.498328263963,-1.94962146161025,0.220865562867601,-8.8271862589052,1.07341958498481e-18,5.32306019836058e-18,"NCU16303"
"NCU08052",5564.58776410605,-2.33901449509657,0.509573945759588,-4.59013753462211,4.42954041635435e-06,8.73977878517578e-06,"NCU08052"
"NCU08053",1402.78620984491,-0.0434013882746895,0.12935168176284,-0.335530142965313,0.737225210409559,0.766308479486234,"NCU08053"
"gh3-2",2299.35632164913,-0.449198509692519,0.105477758831084,-4.25870358519733,2.0561590530387e-05,3.82955663383749e-05,NA
"NCU08055",11756.8253700156,-1.0594982543246,0.213884719004663,-4.95359490502685,7.28547992768264e-07,1.53688025525068e-06,"NCU08055"
"NCU08056",572.739968717216,0.121097049367184,0.185918154636961,0.651346016227669,0.514823150035191,0.555329975748678,"NCU08056"
"NCU08057",1236.64298356016,0.657902781020074,0.19217032738061,3.42353988770098,0.000618111797100504,0.000999354803203791,"NCU08057"
"NCU08058",83.882008295303,2.17740201569203,0.207809521613243,10.4778741550853,1.09170071955448e-25,8.05858470083346e-25,"NCU08058"
"NCU08059",0.299768823033065,-1.07015913994425,3.62510795690296,-0.295207522828788,0.767835355567381,0.794794250517724,"NCU08059"
"NCU08060",100.01533334378,0.0013383499007967,0.191702067736411,0.00698140566035477,0.99442968946045,0.997834917202714,"NCU08060"
"NCU08062",111.877705806163,-0.430797025610048,0.207810796213397,-2.07302523959184,0.0381699307015283,0.0502317950304544,"NCU08062"
"NCU08063",953.470400642253,-0.718015396920373,0.0990546931568074,-7.24867620137621,4.20864669513605e-13,1.41311158131825e-12,"NCU08063"
"NCU08064",2136.87487231747,-1.31717120548764,0.128607297836523,-10.2418076395785,1.28806965428497e-24,8.95444540397962e-24,"NCU08064"
"NCU08065",395.142008488105,0.0518723700541331,0.10687269458216,0.485365979186157,0.627416760607845,0.663073232248947,"NCU08065"
"NCU08066",2864.96135194523,-0.427414313016655,0.103453652274282,-4.13145697247566,3.60471171644294e-05,6.54725061945965e-05,"NCU08066"
"ro-10",309.371051047149,-0.0580620224530848,0.121651496186976,-0.47728161406124,0.633161601531187,0.668268138704058,NA
"NCU08067",1398.64176057304,-0.532834976375984,0.0789241365319518,-6.75122972248509,1.46597270202178e-11,4.41983372311906e-11,"NCU08067"
"NCU08068",176.923481542057,0.0422585722074961,0.157940839445301,0.267559501113904,0.789038408055292,0.814040478597533,"NCU08068"
"NCU08069",208.55373390461,1.3726389899269,0.158360415349201,8.66781630308363,4.4048662964438e-18,2.10138416806174e-17,"NCU08069"
"NCU08070",2249.60693828178,0.442921231824307,0.114033588438442,3.88412956120738,0.000102697137363322,0.00017896581695861,"NCU08070"
"cyt-21",1024.3858239467,-0.50264959239881,0.0967805000614511,-5.19370732822884,2.0614712988762e-07,4.53364281558628e-07,NA
"NCU08072",2408.40768701847,-0.0964100756544721,0.0959610572324829,-1.00467917335364,0.315051359778074,0.355572671458214,"NCU08072"
"NCU08073",54.2898617897046,2.55307892039871,0.260265074777454,9.80953330976806,1.02441232259247e-22,6.41584660587383e-22,"NCU08073"
"NCU08074",8.38573309817783,3.73841941701846,0.987657857567614,3.78513610596424,0.00015362447672195,0.000263722472909863,"NCU08074"
"NCU08075",9.34828767942419,4.31016086132743,0.699861666466414,6.15858971543525,7.33956013231588e-10,1.95357958930621e-09,"NCU08075"
"NCU08076",398.077256090697,-1.42805183905895,0.199322036163058,-7.16454570979153,7.8044925103125e-13,2.56698784267761e-12,"NCU08076"
"NCU08077",77.6901407855578,8.74095221631531,0.447065785959505,19.5518254602178,3.9802094670904e-85,3.63100241007209e-83,"NCU08077"
"NCU08078",50.4269946329732,12.7630685398195,1.0557587981926,12.08900040584,1.20746852673071e-33,1.41358603553099e-32,"NCU08078"
"NCU08079",2.01196509589907,4.5692664953805,1.42885615374403,3.19784919105233,0.00138456667743683,0.0021570420123754,"NCU08079"
"NCU16305",0.739822900583598,5.01237682109144,3.93487386345155,1.27383417995888,0.202722188984561,0.237643783183502,"NCU16305"
"NCU08083",2.3486745365439,7.90093460029608,4.54863052937287,1.73699194719722,0.0823885922827631,0.103025693440362,"NCU08083"
"NCU08084",13.6246828958919,4.8845174917728,0.611950927514755,7.98187774893931,1.44123737813552e-15,5.77570055804828e-15,"NCU08084"
"NCU08085",22.4083167539052,5.3457145156995,1.30295846155001,4.10275129518726,4.08266039936111e-05,7.37380016096786e-05,"NCU08085"
"NCU08086",4.41335054891099,2.90885285149799,1.62068098265398,1.79483370424606,0.0726801991021371,0.0915842488034487,"NCU08086"
"NCU08087",10.0753910494706,4.94301437943566,1.07217659346645,4.61026141547673,4.02162942657459e-06,7.96093276458062e-06,"NCU08087"
"NCU08089",19.9696438264381,1.1540280129691,0.458667848238442,2.51604296529886,0.0118680713873099,0.0166493907319436,"NCU08089"
"NCU16306",1277.38779337345,-0.356260458624673,0.166892578847854,-2.13466926500941,0.0327880352369324,0.0435743974913511,"NCU16306"
"NCU08090",680.575701123325,-0.780264543266436,0.126845865736297,-6.15128083786782,7.68596812698138e-10,2.04184922494258e-09,"NCU08090"
"NCU10622",157.894440446748,0.547859030663955,0.164070120743671,3.33917612896673,0.000840272694053355,0.00134016773074319,"NCU10622"
"NCU08091",1347.15980234773,0.908797234682868,0.118656464730597,7.65906212313201,1.87295789417075e-14,6.91806831040152e-14,"NCU08091"
"NCU08092",15091.6262297824,0.148180440361984,0.170288768458488,0.870171542746854,0.384206665002479,0.425771738742586,"NCU08092"
"NCU08093",8981.91237754206,-0.249942594942514,0.105540975547066,-2.36820432677403,0.0178746612072342,0.0245418108581506,"NCU08093"
"NCU08094",4321.34132426147,1.84572066043727,0.129980438513069,14.1999879485842,9.16281670254315e-46,1.89731129579427e-44,"NCU08094"
"NCU08095",2460.91309863432,-1.32116685539594,0.489457165923294,-2.69924918333506,0.00694961189965888,0.0100227810693067,"NCU08095"
"NCU08096",61.9058486794125,1.07252411933266,0.291618130072224,3.67783758529359,0.000235219650944386,0.000397028106935279,"NCU08096"
"NCU16307",6.24541463777233,-3.90393915204665,1.38183918389031,-2.8251761837118,0.00472546247915782,0.00694456264034287,"NCU16307"
"NCU08097",130.291140947712,0.918763258107521,0.162323724732815,5.66006761870335,1.51313362728587e-08,3.64978851979405e-08,"NCU08097"
"NCU08098",61.0605943037229,1.3939506920609,0.205987650313853,6.76715662291896,1.31337877977043e-11,3.97259080399753e-11,"NCU08098"
"NCU08099",235.756737035819,0.624293124090033,0.327683764664944,1.90516953053311,0.0567580375223366,0.0728304435829345,"NCU08099"
"NCU08100",192.912546239999,1.59165191671043,0.326558803624753,4.87401319163144,1.09353682879898e-06,2.27898731346684e-06,"NCU08100"
"NCU08101",1.56229968169083,3.10731549259174,2.02084074363167,1.53763501769445,0.124137880382007,0.150563119617401,"NCU08101"
"NCU08102",11.8870369410231,10.2435142536641,1.199827888338,8.53748637886167,1.37173136144323e-17,6.31950560512438e-17,"NCU08102"
"NCU08103",6.14962687767396,8.63875481884001,1.44009751725278,5.99872905504333,1.9886785474734e-09,5.11586101464958e-09,"NCU08103"
"NCU08105",0.49254380321275,5.51295481627338,4.97258586061035,1.10866960788822,0.26757273749937,0.306349558562504,"NCU08105"
"NCU08106",0.611080498187328,1.95368265578382,3.7207612038491,0.52507606609173,0.599530313392343,0.636523729743517,"NCU08106"
"NCU08107",0.333081413990457,4.45909127024386,5.45198093150806,0.817884604928441,0.413423081808682,0.455003272001447,"NCU08107"
"NCU08109",2.87529203927094,5.0512985645483,2.11665240979712,2.38645634076143,0.0170116271410091,0.0234434137741995,"NCU08109"
"NCU08110",1983.66627635021,-1.0669715213358,0.102254498459038,-10.4344702425313,1.72573650137947e-25,1.26041329066008e-24,"NCU08110"
"NCU08111",981.039288331125,-0.322963759795269,0.194366450883016,-1.66162297211288,0.0965883943542824,0.119164298724918,"NCU08111"
"NCU08112",451.659291008925,-0.833181565735228,0.148922079929525,-5.59474838203654,2.20941957392218e-08,5.26363322981706e-08,"NCU08112"
"NCU08113",57.3818293942181,0.759098688488866,0.296783738175062,2.55775027687366,0.0105351717036865,0.01487227888681,"NCU08113"
"cdt-2",57.8879258727263,0.748024568438467,0.213090106738281,3.51036742103282,0.000447487896798083,0.000732679980026661,NA
"msh3",358.908079724356,-0.986334141915492,0.135240743776348,-7.29317300669854,3.02738926319067e-13,1.02899311687359e-12,NA
"NCU08116",7.98451776317267,3.62554624293672,0.796164018614697,4.55376801534572,5.26934629530065e-06,1.03419075858651e-05,"NCU08116"
"NCU08117",707.695792037609,2.6996593145356,0.10341126835945,26.1060458629304,3.11281796990641e-150,1.2040379907598e-147,"NCU08117"
"pex1",1107.02639545981,-1.04039163236098,0.126445730699275,-8.22796963256384,1.90413337233382e-16,8.12575891900621e-16,NA
"NCU08119",1321.96905420622,-1.11026199108817,0.184130846275764,-6.02974468180839,1.64218910202901e-09,4.25622316178517e-09,"NCU08119"
"NCU08120",1584.89617575508,1.27994887696706,0.234047440432718,5.46875827652986,4.53199311102423e-08,1.05550032234114e-07,"NCU08120"
"NCU08121",285.033358128409,0.367743515409803,0.189365340922033,1.94197900006007,0.0521396425885764,0.0672433107270651,"NCU08121"
"NCU10647",914.315846518055,-0.646681159705558,0.153766667658602,-4.2056004045125,2.60389954855683e-05,4.79979196236076e-05,"NCU10647"
"NCU16310",74.7686325223018,-2.40651586637338,0.439115935933002,-5.48036559242649,4.24447857688995e-08,9.90924863315448e-08,"NCU16310"
"NCU07509",857.177592343515,1.43525872871647,0.123434885759989,11.627658743957,2.98163458254056e-31,3.03499014875444e-30,"NCU07509"
"NCU07508",22.9013907606809,1.46791733293666,0.47751773859633,3.07405822713858,0.00211168213410742,0.00321827679067277,"NCU07508"
"NCU16311",42.1258072726557,1.7440884136821,0.410546644415773,4.24821013009136,2.1548523122474e-05,4.00642604488222e-05,"NCU16311"
"NCU07507",110.045030255075,0.807391046855479,0.242802656534694,3.32529741798814,0.000883242605612375,0.00140568729365893,"NCU07507"
