"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NCU10129",613.51168009609,0.497073440393018,0.133120273647817,3.73401756751248,0.00018844934072206,0.000576131876314358,"NCU10129"
"NCU09901",395.68789825606,-0.881370442909845,0.159165872482384,-5.53743355383793,3.0693608231637e-08,1.79231395893677e-07,"NCU09901"
"NCU09903",1100.46746425567,-1.9538538234341,0.17466362670577,-11.1863807037825,4.75446902578471e-29,3.38056731465722e-27,"NCU09903"
"NCU11134",5.28580085594631,0.545629794153043,1.17591537896972,0.46400430159447,0.642644663734096,0.73490703622383,"NCU11134"
"NCU09904",1589.39947879145,-1.51728185577144,0.370380961275125,-4.09654386809688,4.19364049166934e-05,0.000144623764459496,"NCU09904"
"NCU09906",6111.22775108458,-2.13209516583215,0.425045554651436,-5.01615683895484,5.27153012373652e-07,2.53106734342265e-06,"NCU09906"
"NCU09907",42.516481755984,1.06306550876558,0.831667001583164,1.27823456592834,0.201166731738712,0.282416128907279,"NCU09907"
"NCU09908",2.15305491961471,0.408104052123928,2.25297300238891,0.181140231903001,0.856257506407348,0.910291346411506,"NCU09908"
"NCU09909",2177.54130715499,2.91020084744414,0.34244544240367,8.49829049269003,1.92403126944681e-17,3.95859199479801e-16,"NCU09909"
"NCU09910",524.185128109222,-0.471837416222861,0.111109180904658,-4.24661051752095,2.1702875051581e-05,7.89566598001462e-05,"NCU09910"
"NCU09911",4718.10490687219,1.19410959428943,0.207254069453368,5.7615736928056,8.33332639113086e-09,5.30410620144904e-08,"NCU09911"
"NCU09912",736.250816173298,0.385533198067916,0.0813016207180207,4.74201122515214,2.11606896072822e-06,9.11059076146122e-06,"NCU09912"
"NCU09913",295.913430583541,1.42086820819465,0.18026094342202,7.88228543144906,3.2144669753801e-15,5.15487490081685e-14,"NCU09913"
"NCU09914",124.089714591075,0.662804791380806,0.257313496648292,2.57586484974302,0.00999897206939485,0.020717818708174,"NCU09914"
"NCU10501",13.9690308529221,0.6490466450961,0.613510905446117,1.05792193640656,0.290091033365547,0.38532696327539,"NCU10501"
"NCU08049",389.827990502616,1.02850901523689,0.100937861967004,10.1895264590912,2.20837269706374e-24,9.24457315177765e-23,"NCU08049"
"NCU08050",230.464927362148,1.275556073234,0.16648593265075,7.66164475835825,1.83566813095568e-14,2.66930989869796e-13,"NCU08050"
"NCU08051",472.169228314121,-0.542579577905942,0.157394506780656,-3.44725866870358,0.000566306096427646,0.0015535262276469,"NCU08051"
"NCU16303",217.498328263963,-0.479115478303585,0.181918691379453,-2.63367922598029,0.00844652441858316,0.0177947475223745,"NCU16303"
"NCU08052",5564.58776410605,-1.34421606095684,0.509211235405208,-2.63980047472279,0.0082954850051621,0.0175087433414404,"NCU08052"
"NCU08053",1402.78620984491,-0.159401413852381,0.127550689121323,-1.24971033046135,0.211405382244391,0.294778665652957,"NCU08053"
"gh3-2",2299.35632164913,-0.0943218840570404,0.103400536709966,-0.912199172830307,0.36166387930194,0.463155835366145,NA
"NCU08055",11756.8253700156,-1.13452649273225,0.213718489575807,-5.30850884724145,1.10525721504508e-07,5.9081466387429e-07,"NCU08055"
"NCU08056",572.739968717216,0.239987320140332,0.180498935683305,1.32957748050882,0.18365752190019,0.261018259373139,"NCU08056"
"NCU08057",1236.64298356016,1.02379102269721,0.190881653273625,5.3634857260463,8.16311052703707e-08,4.44466659889913e-07,"NCU08057"
"NCU08058",83.882008295303,1.21353935633079,0.210240991520706,5.77213486082363,7.82734284858678e-09,5.00929221349002e-08,"NCU08058"
"NCU08059",0.299768823033065,-1.84104005459399,3.62510795690296,-0.507857993880781,0.611552935314956,0.7067905921472,"NCU08059"
"NCU08060",100.01533334378,0.149935514770855,0.175164131197262,0.855971560764367,0.392013510276419,0.494309382812583,"NCU08060"
"NCU08062",111.877705806163,-0.718968254558826,0.197853955169182,-3.63383311667461,0.000279241514744438,0.000821748462440267,"NCU08062"
"NCU08063",953.470400642253,-0.548438960798674,0.0940480590792548,-5.8314755899056,5.49393498248359e-09,3.58961832977137e-08,"NCU08063"
"NCU08064",2136.87487231747,0.160776417096635,0.124082885777169,1.29571790734591,0.195072689585674,0.274818314145318,"NCU08064"
"NCU08065",395.142008488105,0.566894581899229,0.0957896786241479,5.91811758888518,3.25647123025977e-09,2.20210327249035e-08,"NCU08065"
"NCU08066",2864.96135194523,0.409914240212247,0.100408418024661,4.08246886343305,4.45597836032574e-05,0.000152853177525186,"NCU08066"
"ro-10",309.371051047149,-0.306465514964974,0.11609563126783,-2.6397678501611,0.0082962835564095,0.0175087433414404,NA
"NCU08067",1398.64176057304,-0.258796256293646,0.0739437431055931,-3.49990743536042,0.000465419743362578,0.00129962717826051,"NCU08067"
"NCU08068",176.923481542057,-0.77484502195179,0.157991812893723,-4.9043365460526,9.37436448160987e-07,4.32490956761295e-06,"NCU08068"
"NCU08069",208.55373390461,0.0991674013685688,0.161256014774474,0.614968697491751,0.538575392919262,0.639099772920514,"NCU08069"
"NCU08070",2249.60693828178,-0.407333879117209,0.11390959280861,-3.57594008611381,0.000348971575196877,0.000999516318704313,"NCU08070"
"cyt-21",1024.3858239467,-0.172611762279627,0.0911129551073817,-1.89448099972385,0.0581611940043696,0.0974222667629057,NA
"NCU08072",2408.40768701847,0.260296609176648,0.0938234392945993,2.77432389106239,0.00553165746745424,0.0121681364218113,"NCU08072"
"NCU08073",54.2898617897046,0.742879022165151,0.283697076391477,2.6185642503416,0.00883006613008411,0.0185140371808138,"NCU08073"
