"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NCU10129",613.51168009609,1.20678338756002,0.132906877051834,9.07991681340444,1.08657865685426e-19,1.84014283919102e-18,"NCU10129"
"NCU09901",395.68789825606,0.0329064792905315,0.156894095756895,0.209736887368404,0.833873033840894,0.883193016127212,"NCU09901"
"NCU09903",1100.46746425567,0.356015439840575,0.168749856055802,2.10972292458044,0.0348822286984649,0.0572684467765969,"NCU09903"
"NCU11134",5.28580085594631,1.35501281147155,1.15774627059654,1.17038840537431,0.24184469951296,0.313911173730245,"NCU11134"
"NCU09904",1589.39947879145,0.690910620235486,0.369188631276231,1.87142983749827,0.0612855264351493,0.0943079313538977,"NCU09904"
"NCU09906",6111.22775108458,-0.0544673621352219,0.424786557011175,-0.128222895089849,0.897972581959599,0.93530750404452,"NCU09906"
"NCU09907",42.516481755984,5.40657430054121,0.602244000699995,8.97738174935257,2.7728643578186e-19,4.53698787480641e-18,"NCU09907"
"NCU09908",2.15305491961471,1.06193087136043,2.25297300238891,0.471346469857571,0.63739333591799,0.710910445020411,"NCU09908"
"NCU09909",2177.54130715499,2.7481705555806,0.342764905220105,8.01765441481204,1.07783543619628e-15,1.22331791878146e-14,"NCU09909"
"NCU09910",524.185128109222,0.00698157217467604,0.112330251707476,0.062152199149852,0.950441628401905,0.974590898845357,"NCU09910"
"NCU09911",4718.10490687219,1.45845500619329,0.20740376189778,7.03196023470438,2.03651851125507e-12,1.61950115163129e-11,"NCU09911"
"NCU09912",736.250816173298,0.23660379687172,0.0860018435988634,2.75114796347048,0.00593868124001505,0.0113965166880225,"NCU09912"
"NCU09913",295.913430583541,1.85843412069142,0.181301138394156,10.2505375153857,1.17687237084648e-24,3.18777474120042e-23,"NCU09913"
"NCU09914",124.089714591075,2.68656738882831,0.241494570563802,11.1247527534724,9.50690851805223e-29,3.39231754131236e-27,"NCU09914"
"NCU10501",13.9690308529221,3.32890708591675,0.532263595432165,6.25424529215433,3.99442784291496e-10,2.36824753163628e-09,"NCU10501"
"NCU08049",389.827990502616,0.898810334915516,0.106841215434879,8.41258058752944,4.01087078248804e-17,5.42449237295934e-16,"NCU08049"
"NCU08050",230.464927362148,0.625760579542389,0.177279630642777,3.52979401679437,0.000415883320021712,0.000987863351660515,"NCU08050"
"NCU08051",472.169228314121,0.0136281532034474,0.157897879738771,0.0863099189551758,0.931220053716017,0.960215175883331,"NCU08051"
"NCU16303",217.498328263963,-0.0224365250483179,0.183653263804331,-0.122167853614746,0.902766084816278,0.939086493133973,"NCU16303"
"NCU08052",5564.58776410605,-2.50862251149508,0.50952779921813,-4.92342619057205,8.50419614494159e-07,3.07998414687585e-06,"NCU08052"
"NCU08053",1402.78620984491,0.311786343025026,0.127878028463745,2.43815412835694,0.0147624781960189,0.0262655315833491,"NCU08053"
"gh3-2",2299.35632164913,-0.270344156006949,0.104542975760762,-2.58596193612864,0.00971076537576391,0.0179478404402976,NA
"NCU08055",11756.8253700156,-0.605376866950451,0.213736101569171,-2.8323566421676,0.00462062802365566,0.00905766734010749,"NCU08055"
"NCU08056",572.739968717216,0.616892535745486,0.181649388010044,3.39606173466093,0.000683629388664067,0.00156577361164887,"NCU08056"
