"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",613.51168009609,-0.467975204574686,0.13273686435346,-3.52558580356797,0.000422547270446991,0.00109957806922024
"NCU09901",395.68789825606,-0.15819558658145,0.149128830250069,-1.06079814557774,0.288781645161422,0.37259840745305
"NCU09903",1100.46746425567,-0.145520772562301,0.167144159830239,-0.870630315232669,0.383956038405456,0.473699271673993
"NCU11134",5.28580085594631,2.20188738719659,1.01498402826167,2.16938131624364,0.0300537462524459,0.052045079917828
"NCU09904",1589.39947879145,-2.31634295308315,0.370074447011927,-6.2591269723859,3.87138578322256e-10,2.5449558479784e-09
"NCU09906",6111.22775108458,-2.71430156792699,0.424927615274778,-6.38767985500729,1.68421468898796e-10,1.1599968691249e-09
"NCU09907",42.516481755984,5.9705110180626,0.583637942072939,10.2298198723284,1.4579029378238e-24,4.20833474888244e-23
"NCU09908",2.15305491961471,3.63070689433744,1.97022691309739,1.84278616346257,0.0653602377952919,0.103748112193118
"NCU09909",2177.54130715499,3.35401224730329,0.342172559097378,9.80210761538238,1.10260594047757e-22,2.77661443865054e-21
"NCU09910",524.185128109222,-0.0161907212326836,0.10471932344714,-0.15461063631543,0.877128284267625,0.90899480322237
"NCU09911",4718.10490687219,1.49289970603464,0.206958350000274,7.2135272920018,5.45207902697139e-13,5.13855791333464e-12
"NCU09912",736.250816173298,0.434462627149175,0.0777207628042839,5.59004584454784,2.27009670079991e-08,1.17957200949678e-07
"NCU09913",295.913430583541,1.37452851000277,0.176961772227901,7.7673753641695,8.01291198449317e-15,9.43786344580378e-14
"NCU09914",124.089714591075,0.503605875280369,0.245367044717487,2.05245930992981,0.0401250456089618,0.0672926103084739
"NCU10501",13.9690308529221,0.907546963686309,0.549834616359402,1.65058171436243,0.0988240152041806,0.148782224353795
"NCU08049",389.827990502616,1.01760353914403,0.096463111099851,10.549147000771,5.12603427684608e-26,1.64134938599674e-24
"NCU08050",230.464927362148,1.75792577744699,0.161405359853814,10.8913717551831,1.26717049971394e-27,4.45583226626684e-26
"NCU08051",472.169228314121,-0.372674952672383,0.153200089977827,-2.43260270099267,0.0149907395642767,0.0280062696264598
"NCU16303",217.498328263963,-0.768160820131591,0.176892764968475,-4.34252254617925,1.40856025159439e-05,4.78762815484562e-05
"NCU08052",5564.58776410605,-4.25545304219712,0.509535578862965,-8.35163081583668,6.73268224900582e-17,9.90944251870415e-16
"NCU08053",1402.78620984491,-0.302469722229839,0.126398234580151,-2.39299008593383,0.0167116926463937,0.0308636493297607
"gh3-2",2299.35632164913,-0.736442070009823,0.103022783468932,-7.148341805693,8.78323906679747e-13,8.05824684781134e-12
"NCU08055",11756.8253700156,-2.11620593743287,0.213707248947072,-9.9023591752706,4.06569117395566e-23,1.05120945593987e-21
"NCU08056",572.739968717216,0.792998911401773,0.176782259584077,4.48573806708599,7.26619629951667e-06,2.58595454672879e-05
"NCU08057",1236.64298356016,-0.56220036335035,0.191255968390522,-2.93951800867413,0.00328723167087436,0.00709384741293351
"NCU08058",83.882008295303,1.75634567171685,0.192919053256956,9.10405500164623,8.70206811013022e-20,1.7243647259213e-18
"NCU08059",0.299768823033065,-1.94297074114086,3.62510795690296,-0.535975966575297,0.591975160576882,0.66967709438213
"NCU08060",100.01533334378,-0.243012385046013,0.167624930270448,-1.44973891803525,0.147131338613643,0.210654433579202
"NCU08062",111.877705806163,-0.649155425694792,0.183337053027195,-3.54077593686695,0.00039895222180241,0.00104492632308486
"NCU08063",953.470400642253,-0.551229871124624,0.0913576173181237,-6.03375927816881,1.60188637720953e-09,9.7680863364498e-09
"NCU08064",2136.87487231747,-0.562482390994692,0.12385117694343,-4.54159907783201,5.58291372316299e-06,2.01668941736967e-05
"NCU08065",395.142008488105,0.10666848491087,0.0929370718134586,1.14774957753105,0.25107195812385,0.331449260758721
"NCU08066",2864.96135194523,0.264523723269584,0.0997865177420304,2.65089642624302,0.008027845539699,0.0159206862938657
"ro-10",309.371051047149,-0.422804657588563,0.109919005043091,-3.84651095980002,0.000119811773847805,0.000347296119037251
"NCU08067",1398.64176057304,-0.238063015161114,0.0714992420213756,-3.3295879568897,0.000869745887193876,0.00212224141538349
"NCU08068",176.923481542057,-0.699656276188929,0.147187170100298,-4.7535140169633,1.99911237781273e-06,7.81067341149457e-06
"NCU08069",208.55373390461,-0.798923839318851,0.159919984262859,-4.9957723732993,5.86007496456968e-07,2.47561926200912e-06
"NCU08070",2249.60693828178,-0.717238948116076,0.11314216321228,-6.3392720074688,2.30853355319906e-10,1.55677730977896e-09
"cyt-21",1024.3858239467,-0.156915406049579,0.0885881102909714,-1.77129194351458,0.0765121664912825,0.11908460485606
"NCU08072",2408.40768701847,-0.223950775732652,0.0933133779500495,-2.39998573251236,0.0163957108875016,0.0303264200998738
"NCU08073",54.2898617897046,2.00731201923783,0.244545281617117,8.20834491658958,2.24258220566046e-16,3.13831692166956e-15
"NCU08074",8.38573309817783,2.92656311783985,0.966510343640825,3.02796875076944,0.00246203545293576,0.00544802810752604
"NCU08075",9.34828767942419,2.18103744086794,0.703373361088719,3.10082462817758,0.00192982548566453,0.00436728585218255
"NCU08076",398.077256090697,-0.687918545737733,0.184080008418282,-3.73706276769928,0.000186182458534914,0.000523846530287067
"NCU08077",77.6901407855578,4.82369490669542,0.45446957331294,10.6139006656314,2.56799405456172e-26,8.44642942435777e-25
"NCU08078",50.4269946329732,8.84573037783274,1.06086355127625,8.33823573935693,7.54071276766397e-17,1.10650519671185e-15
"NCU08079",2.01196509589907,3.22638335233459,1.40760004881748,2.29211653910148,0.021898919267235,0.0393172204445159
"NCU16305",0.739822900583598,2.87001507142187,3.93851819749861,0.72870428102748,0.466182573538828,0.55394267462773
"NCU08083",2.3486745365439,3.71536026204023,4.5922737655515,0.809045900074741,0.418488744891839,0.507624957740101
"NCU08084",13.6246828958919,3.8068780537276,0.595621039899332,6.39144321424746,1.64327308531944e-10,1.13341303388295e-09
"NCU08085",22.4083167539052,9.86408434565673,1.08017147407014,9.13196152874544,6.7269222621933e-20,1.34399459246713e-18
