"sample_id","size_factor"
"cac2_rep1",1.85085226112356
"cac2_rep2",1.65537413331177
"cac2_rep3",1.71761795282825
"cac3_rep1",1.61535029440156
"cac3_rep2",2.02473086472974
"cac3_rep3",1.91055572801746
"naf1_rep1",1.01682218960737
"naf1_rep2",1.02534209871815
"naf1_rep3",1.39326694568634
"asf1_rep1",0.674794816983123
"asf1_rep2",0.50432960302004
"asf1_rep3",0.489287286690101
"naf2_rep1",1.68809264817892
"naf2_rep2",1.73459833254968
"naf2_rep3",1.28758615093572
"atrx_rep1",0.805082783153611
"atrx_rep2",0.937130278713235
"atrx_rep3",0.763680495420465
"WT_rep1",2.82428428806884
"WT_rep2",3.46442244894819
"WT_rep3",3.4380953291396
"WT_rep4",2.79834766547451
"set7_rep1",0.492005659063549
"set7_rep2",0.501175906467459
"set7_rep3",0.59996475108543
"cac1_new_rep1",0.238897100259279
"cac1_new_rep2",0.794695692793208
"cac1_new_rep3",0.610885866960475
"ash1_rep1",0.18751030095667
"ash1_rep2",0.229369301729305
