"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.4452364.4453364",0,0,-4.08573192871129,-2.89953511928626
"CM002237.1.4465317.4466317",0,0,-4.1087839696409,-3.32766647369975
"CM002237.1.4467612.4468612",0,0,-3.44899902614842,-2.68045188453749
"CM002238.1.8256.9256",1.03609108320679,0,-3.53402843829572,-2.98911322188417
"CM002238.1.11870.12870",0.594788070189023,0,-4.35823398197748,-3.78227170696667
"CM002238.1.28170.29170",0,-0.654985917924906,-3.15812791253625,-2.34320982073973
"CM002238.1.30599.31599",0,0,-3.26593455994655,-2.70105530218232
"CM002238.1.161404.162404",0,0,-3.37629732526166,-2.71361744620089
"CM002238.1.162882.163882",0,0,-2.78596851525701,-2.35362631936846
"CM002238.1.167007.168007",0,0,-2.74040685825719,-2.33558091295933
"CM002238.1.200169.201169",0,-0.804137752975508,-2.67254060294567,-2.39413192404545
"CM002238.1.218438.219438",0,0,-1.75289654684991,-3.82404346869478
"CM002238.1.221618.222618",0,0,-2.89112127106928,-2.95178427814901
"CM002238.1.223109.224109",0,0,-2.25014503445969,-2.23534193166037
"CM002238.1.223365.224365",0,0,-2.22361048533059,-2.42370655927744
"CM002238.1.224708.225708",0,0,-2.47863415150957,-4.16510108975703
"CM002238.1.229458.230458",0,0,-1.47405791801702,-3.92521315100712
"CM002238.1.233968.234968",0,0,-1.57329906770247,-4.06623270361796
"CM002238.1.233920.234920",0,0,-1.52610586208497,-4.07686867497631
"CM002238.1.238377.239377",0,-0.801768877131546,-2.87013542853511,-3.85584183860058
"CM002238.1.238407.239407",0,-0.81106470865359,-2.87122512068371,-3.8870115046594
"CM002238.1.243748.244748",-1.12072760467886,-1.04739294837008,-3.31531255104375,-3.59889744980226
"CM002238.1.247405.248405",0,-0.619444512799784,-2.70810250390206,-3.63859627352234
"CM002238.1.252198.253198",0,-0.66958609798703,-2.85105153552645,-2.39757058138216
"CM002238.1.264422.265422",0,0,-0.697685199104174,-4.16658868572918
"CM002238.1.265739.266739",0.583549022757118,0,-1.53236218824879,-3.7132058698311
"CM002238.1.268061.269061",0,0,-2.19994460257907,-3.86421446048497
"CM002238.1.271106.272106",0,0,0,-4.01812889241
"CM002238.1.272674.273674",0,0,0,-4.60148880079772
"CM002238.1.273858.274858",0,0,0,-4.61641238295796
"CM002238.1.275772.276772",0,0,0,-1.54783483172442
"CM002238.1.279201.280201",0,0,-2.73378021077069,-3.92587649121373
"CM002238.1.279999.280999",0,0,-1.72124868506957,-4.12611911474476
"CM002238.1.285185.286185",0,0,-1.56280491582976,-3.31695277916673
"CM002238.1.284489.285489",0,0,-1.89270724960268,-2.7068356706705
"CM002238.1.290825.291825",0,0,0,-3.21611246375235
"CM002238.1.291002.292002",0,0,-0.547161284853144,-3.1664230559336
"CM002238.1.295350.296350",0,0,0,-3.68844228646335
"CM002238.1.298561.299561",0,0,0.534910451844132,-3.48412685502074
"CM002238.1.298935.299935",0,0,0.531820703170404,-3.66726560803863
"CM002238.1.343583.344583",0.57395273232415,0,0.640167159065933,-2.73510668515026
"CM002238.1.343837.344837",0,0,0.627566686913067,-2.88981719857198
"CM002238.1.381226.382226",0,0,0.64214688864589,-3.7349084554937
"CM002238.1.386039.387039",0,0,0.768668229808671,-3.28374450422324
"CM002238.1.386020.387020",0,0,0.779356141484197,-3.25822774711352
"CM002238.1.390336.391336",0,0,0.731803798314866,-3.75130383974975
"CM002238.1.393053.394053",0,0,0.850214432552518,-3.12998041674172
"CM002238.1.393403.394403",0,0,0.918503249773125,-3.35473006211497
"CM002238.1.395310.396310",0,0,0.716435337506201,-3.69273883867146
"CM002238.1.398176.399176",0,0,0.631959611137394,-3.65048488706095
"CM002238.1.400170.401170",0,0,0,-3.01918128822262
"CM002238.1.401180.402180",0,0,1.1692784541397,-1.73868654537824
"CM002238.1.426575.427575",0,0,0.687438060434928,-2.60973227201398
"CM002238.1.428547.429547",0,0,0.984922954969213,-3.16886468530761
"CM002238.1.430124.431124",0,0,1.22860347326308,-2.56393201842712
"CM002238.1.449458.450458",0,0,1.05849817905787,-3.2987534186383
"CM002238.1.452595.453595",0,0,1.12863263740944,-3.43538322560021
"CM002238.1.454278.455278",0,0,1.43028072392327,-2.97662152422179
"CM002238.1.455457.456457",0,0,1.32275099672623,-2.58417643340593
"CM002238.1.456978.457978",0,0,1.43985865985913,-2.39071189892225
"CM002238.1.459470.460470",0,0.652425691227891,1.38794075115323,-2.6397703539073
"CM002238.1.554278.555278",1.63613567253293,1.27229375532394,2.69844644303844,-1.05428152745974
"CM002238.1.4575576.4576576",0,0,0,-3.43843800801872
"CM002238.1.4605354.4606354",0.954815978954569,0,0.609255482714995,-1.54021714758455
"CM002238.1.4626922.4627922",0,0,0.518325680271042,-2.90526339941207
"CM002238.1.4630534.4631534",0,0,0,-3.25461076257113
"CM002238.1.4636013.4637013",0,0,-0.547625146882626,-3.57568387920314
"CM002238.1.4639296.4640296",-0.538236483166004,-0.836653415942078,-0.753855256677032,-3.24019944344948
"CM002238.1.4639145.4640145",0,-0.845987240793182,-0.886201823642538,-3.22794557488515
"CM002238.1.4645491.4646491",-0.606423560199586,-0.74145440962245,-0.547920459773722,-3.61136623623139
"CM002238.1.4647252.4648252",0,0,0,-3.89632079227402
"CM002238.1.4649239.4650239",0,0,0,-3.80243628800971
"CM002238.1.4652197.4653197",0,0,0,-3.83608741968983
"CM002238.1.4654746.4655746",0,0,0,-3.85365464521616
"CM002238.1.4656093.4657093",0,0,0,-3.37639212538898
"CM002238.1.4658449.4659449",0,0,0,-3.46464031913637
"CM002238.1.4672730.4673730",0,0,-2.628408113981,-3.70897636007606
"CM002238.1.4676370.4677370",0,0,0,-3.81366845954503
"CM002238.1.4677879.4678879",0,0,0,-3.71097589667151
"CM002238.1.4679232.4680232",0,0,0,-3.68088146673022
"CM002238.1.4684305.4685305",0,0,-0.786223481847348,-3.42044834486471
"CM002238.1.4723182.4724182",0,0,-1.501061746027,-2.95928487781443
"CM002238.1.4726429.4727429",0,0,-1.63162813961733,-3.37800578502567
"CM002238.1.4725808.4726808",0,0,-1.58385601742927,-3.49480072002409
"CM002238.1.4731541.4732541",0,0,-0.954094087782338,-3.92046631803948
"CM002238.1.4734925.4735925",0,0,-0.968734584544029,-4.13183126091178
"CM002238.1.4742400.4743400",0,0,-1.09728862248714,-4.43631645947605
"CM002238.1.4742261.4743261",0,0,-1.07786396769062,-4.33292568843579
"CM002238.1.4745995.4746995",0,0,-1.42585028151029,-4.45523340491543
"CM002238.1.4749347.4750347",-0.56899297332881,-0.710076707059123,-2.14965121302359,-4.30898765646912
"CM002238.1.4751018.4752018",0,0,-1.08747257927362,-4.05852561740893
"CM002238.1.4753827.4754827",0,0,-0.944421722717847,-4.08737344932473
"CM002238.1.4756558.4757558",0,-0.594092973105094,-1.32121275717644,-3.79007264125517
"CM002238.1.4758636.4759636",-0.829329750684002,-0.876389994358113,-1.86332047326053,-4.11528057987131
"CM002238.1.4764324.4765324",-0.808856238034407,-0.893214377306358,-1.67295987630194,-4.01170151223143
"CM002238.1.4766164.4767164",-0.608357343128872,-0.625144502882356,-1.12978436114553,-3.91819877668195
"CM002238.1.4769023.4770023",0,0,0,-3.71094064554834
"CM002238.1.4768936.4769936",0,0,0,-3.77011086848874
"CM002238.1.4772442.4773442",0,0,0,-4.07488725869254
"CM002238.1.4772153.4773153",0,0,0,-4.03112980849281
"CM002238.1.4774945.4775945",0,0,-0.627963190858204,-3.18278510325817
"CM002238.1.4777022.4778022",0,0,-0.807339725493281,-4.102089929535
"CM002238.1.4779590.4780590",0,0,0,-4.01825820070925
"CM002238.1.4781347.4782347",0,0,0,-4.19163199360109
"CM002238.1.4787613.4788613",0,0,-0.928727312564361,-4.14614369220636
"CM002238.1.4787657.4788657",0,-0.57555631191902,-0.928859581317722,-4.10207206843274
"CM002238.1.4790187.4791187",0,0,0,-4.63446064221099
"CM002238.1.4792371.4793371",0,0,0,-4.12125035781158
"CM002238.1.4793103.4794103",0,0,0,-4.3107878659441
"CM002238.1.4795815.4796815",0,0,-1.71190846408656,-4.33284893250445
"CM002238.1.4796219.4797219",0,0,-1.7154509628543,-4.22409172359558
"CM002238.1.4799160.4800160",0,0,0,-4.16146383865444
"CM002238.1.4804759.4805759",0,0,0,-4.00111860394427
"CM002238.1.4806035.4807035",0,-0.577706425035628,-0.608501739180983,-3.93048103163795
"CM002238.1.4808122.4809122",0,0,0,-4.45976084591822
"CM002238.1.4810605.4811605",0,0,0,-3.97224447321521
"CM002238.1.4814060.4815060",0,0,0,-4.06762950371431
"CM002238.1.4817972.4818972",0,0,0,-3.88430054192621
"CM002238.1.4819892.4820892",0,0,0,-3.8635162146201
"CM002238.1.4822695.4823695",0,0,0,-3.87847496167462
"CM002238.1.4825846.4826846",0,0,0,-4.27433910394342
"CM002238.1.4827377.4828377",0,0,0,-4.17016827765802
"CM002238.1.4856481.4857481",0.740691037227816,0,0,-3.28999388479032
"CM002238.1.4859825.4860825",0,0,0,-4.08844368892965
"CM002238.1.4861381.4862381",0,0,0,-3.99132390004484
"CM002238.1.4862238.4863238",0,0,0,-3.89158098650404
"CM002238.1.4861926.4862926",0,0,0,-3.93203851691367
"CM002238.1.4869940.4870940",0,0,0,-3.3818112412436
"CM002238.1.4869399.4870399",0,0,0,-3.53911080610611
"CM002238.1.4872943.4873943",0,-0.663477131727594,0,-2.25426964773506
"CM002238.1.4872985.4873985",0,-0.686015246236389,0,-2.25222096627211
"CM002238.1.4875326.4876326",0,-0.697653897464727,-0.653116254335145,-3.1597223671461
"CM002238.1.4926312.4927312",-0.565566549793537,-0.917665533989725,-0.815683226626669,-1.72160033030032
"CM002238.1.4962886.4963886",-0.606709500808868,-0.782035348930479,-1.12253769000076,-0.890902149718013
"CM002238.1.4965894.4966894",-1.46081531943959,-1.74408175118756,-2.04464537350414,-1.43180153444207
"CM002238.1.4968477.4969477",-1.45971070097177,-1.78287101562169,-1.6649388596242,-2.23295391975661
"CM002238.1.4968294.4969294",-1.49091120818041,-1.76003519822549,-1.69096992074658,-2.20533526425623
"CM002238.1.4982364.4983364",-1.04929682087194,-1.23713484075951,-1.55236508385262,-1.22816840716684
"CM002238.1.4984971.4985971",0,-0.839230881036176,-1.05908366581908,-0.85245001484781
"CM002238.1.4986875.4987875",0,0,-1.66233908044936,-1.38013531205094
"CM002238.1.4990567.4991567",-0.789088757704697,-0.946776114656744,-2.14798028204484,-2.94163507041967
"CM002238.1.4992940.4993940",0,0,-1.07563722737694,-3.84819909256412
"CM002238.1.5017866.5018866",0,0,0,-3.34194339446778
"CM002238.1.5019830.5020830",0,0,0,-3.70710615769172
"CM002238.1.5026908.5027908",0,0,-0.529175852371124,-3.7653930556326
"CM002238.1.5031261.5032261",0,0,-0.686631280476624,-2.7837191164976
"CM002238.1.5052624.5053624",-0.764433653209129,-1.05566427250003,-1.85606989647111,-1.03130012770747
"CM002238.1.5057244.5058244",0,-0.66071256250647,-2.4319788061897,-3.61302084383867
