"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.55203.56203",-1.72950953784255,-2.14852038961407,-1.72318521676995,-1.68729630676627,-1.42636892668299
"CM002237.1.69444.70444",-1.76988804845817,-1.77477862704767,-1.58198363153361,-1.79387823927986,-1.73623588816066
"CM002237.1.74342.75342",-1.65210631358419,-1.370945074605,-1.52157304628677,-1.2067684465663,-1.29002635596036
"CM002237.1.75400.76400",-1.91089000060338,-1.6889186458072,-1.61938945863243,-0.750358236632424,-1.14027468786942
"CM002237.1.75424.76424",-1.81284983621616,-1.70914906021198,-1.66582947542984,-0.709284848927205,-1.11385312448281
"CM002237.1.106019.107019",-1.80482245406962,-1.64076313252705,-1.49718449660193,-1.54461444147224,-1.06698770311697
"CM002237.1.148334.149334",-1.95688357696501,-2.5888295939297,-1.90340125133459,-1.84492341516768,-1.81899997712439
"CM002237.1.561860.562860",-2.06124153680505,-2.02943838867481,-1.43173142403369,-2.08163774518328,-1.67980887444073
"CM002237.1.563402.564402",-1.83482727985996,-1.54967853690206,-1.47884799723712,-1.78681844626054,-1.5216459403759
"CM002237.1.567505.568505",-2.22494300979348,-1.94628989525987,-1.80917100876214,-1.97047952893592,-1.59895801021544
"CM002237.1.570312.571312",-2.06538333200671,-1.98837767438719,-1.86049955213693,-2.11281304069313,-1.61149108203604
"CM002237.1.584152.585152",-2.01605589266161,-2.3601810003616,-1.34809283389027,-1.91536908098379,-1.45978436933726
"CM002237.1.1678593.1679593",-1.74908675235047,-1.67612827378605,-1.71550304562627,-1.75665844399168,-1.53002464236015
"CM002237.1.1679516.1680516",-2.09505158700922,-1.80445210261836,-1.76721777238049,-1.66390360634439,-1.62843795052192
"CM002237.1.1684546.1685546",-2.20361037137583,-2.14330247108947,-1.77472358369011,-1.98923198797365,-1.79266102214911
"CM002237.1.1684913.1685913",-2.08112530149107,-1.96957328972344,-1.63036360684951,-1.93497211708665,-1.58510222829027
"CM002237.1.4046143.4047143",-2.28606404842176,-2.12848651387823,-2.0905694142307,-2.32003796337773,-2.41936431500994
"CM002237.1.4165274.4166274",-2.32860268885507,-2.28313449183222,-1.76135372634153,-2.10933849044634,-1.65164845822608
"CM002237.1.4297462.4298462",-2.07593363267622,-2.38779950399806,-1.8508120850064,-2.1311216369377,-1.520683208301
"CM002237.1.4448862.4449862",-1.76276946861826,-1.97056062879036,-1.70493580597211,-1.04023800911868,-0.946283644099185
"CM002237.1.4452364.4453364",-1.44324004982922,-1.9686362315645,-1.80652332262296,0,0
"CM002237.1.4465317.4466317",-2.11072692656607,-1.91050745424703,-1.62672315027576,-1.86230569662397,-1.73929398694968
"CM002237.1.4467612.4468612",0,0,0.714441836509659,1.93866293553589,2.18517504240967
"CM002238.1.8256.9256",-1.43535736032086,-1.02818047786155,-1.34955769487467,-0.979880787991988,0
"CM002238.1.11870.12870",-2.27766125886488,-2.20981540505149,-2.3345954452276,-1.29187253816001,-1.71089815421364
"CM002238.1.28170.29170",-1.29337950995126,-1.39265615166307,-1.08639481986538,-0.640833003216066,0
"CM002238.1.30599.31599",-2.37200562514083,-2.08210872443844,-2.04905797497938,-1.66283675300722,-1.78577919290764
"CM002238.1.161404.162404",-2.01877280571349,-1.92973281033559,-1.67922946756129,-1.61135322243354,-1.96333634385746
"CM002238.1.162882.163882",-1.70821979274842,-1.94218294129921,-1.49745343489098,-1.53539396147966,-1.43009456205559
"CM002238.1.167007.168007",-1.75694978277325,-1.3747102044505,-1.41475083992872,-1.51858813892536,-1.31212186552598
"CM002238.1.200169.201169",-2.115954305053,-2.02814253367393,-1.75582513505032,-2.08985159262706,-1.89516426171991
"CM002238.1.218438.219438",-2.49649331216268,-2.32520197284604,-1.98352564942528,-2.00205885025421,-1.83196891299256
"CM002238.1.221618.222618",-2.02940107431402,-2.08344982020236,-1.85226126518645,-2.18460229028355,-1.49036587779023
"CM002238.1.223109.224109",-2.56456066127352,-2.36717410145011,-2.18534569809609,-2.61970882166597,-2.7105760464419
"CM002238.1.223365.224365",-2.73058043844022,-2.39651021872691,-2.35974015043179,-2.72721769277787,-2.85958348388162
"CM002238.1.224708.225708",-2.13630022622858,-2.53406950191077,-1.85932679009893,-2.18871404519923,-2.08810346658851
"CM002238.1.229458.230458",-2.44710703661814,-2.37298407769623,-1.97526646720044,-2.187900966922,-1.77323851080062
"CM002238.1.233968.234968",-2.46963437076862,-2.44350023922978,-2.01207536695893,-2.49367223456887,-1.82893926408749
"CM002238.1.233920.234920",-2.47724008867906,-2.28036085801966,-1.98998230126363,-2.40241262183966,-1.84744720312681
"CM002238.1.238377.239377",-2.8227722769329,-2.81858828579671,-3.10774456677349,-2.71292652179615,-2.54149767635829
"CM002238.1.238407.239407",-2.83398357786157,-2.73914431207347,-3.06409646525769,-2.83619198183882,-2.59817260539676
"CM002238.1.243748.244748",-2.07402580508537,-2.5868381331066,-2.3241832702262,-2.30167072703596,-1.63578974822696
"CM002238.1.247405.248405",-1.98854668157868,-2.36761135980246,-1.86277125897544,-2.09247682987372,-1.90104933180833
"CM002238.1.252198.253198",-2.2253145795078,-1.76789962361226,-1.3767523616449,-1.18115860436664,-1.82867641410157
"CM002238.1.264422.265422",-2.147419086142,-2.11074310585471,-1.65909289089008,-1.68391052848291,-1.42457996327973
"CM002238.1.265739.266739",-2.36645673247827,-2.50426844224001,-2.17442069392435,-2.18306276483969,-2.37310761337539
"CM002238.1.268061.269061",-2.06217262177359,-2.1808714568086,-2.18058969408667,-1.49946624909307,-1.01629474313371
"CM002238.1.271106.272106",-2.69074664689255,-2.45750354079555,-2.19353637545231,-2.25622176396338,-2.35131876107899
"CM002238.1.272674.273674",-1.89263787504496,-2.15735090092832,-1.58530550771762,-1.81316167439327,-1.40361540982782
"CM002238.1.273858.274858",-2.46186230062195,-2.07764660122741,-1.67891937281318,-2.04442438299616,-1.44509597810115
"CM002238.1.275772.276772",-1.73067614128017,-2.08875239512168,-1.33861843334783,-1.35208561051568,-0.995063486353059
"CM002238.1.279201.280201",-2.15626914834637,-2.34436548465601,-2.08011415995867,-2.40105507475984,-2.08595940720954
"CM002238.1.279999.280999",-2.42228860531754,-2.12791920814945,-1.59400575991879,-2.2344942661898,-1.69336373940107
"CM002238.1.285185.286185",-3.09677055039905,-2.8230316928998,-2.3308850853544,-2.69382755808186,-2.36377909856923
"CM002238.1.284489.285489",-2.69943434336891,-2.204738271613,-2.15866180082175,-1.97884082271767,-1.5436580077768
"CM002238.1.290825.291825",-2.79894447905837,-2.78442977895493,-2.26718128985971,-2.26902945590236,-1.2631412506017
"CM002238.1.291002.292002",-2.98892479223052,-2.88775724441136,-2.56707904928206,-2.47552441583974,-1.7905879709818
"CM002238.1.295350.296350",-2.6171093305813,-2.5977607999841,-2.15630668123807,-2.53609433620974,-2.39673671109611
"CM002238.1.298561.299561",-2.03202395281778,-2.55864247479074,-1.98913419456729,-2.00720214956496,-1.84331455027885
"CM002238.1.298935.299935",-2.12885026992394,-2.6410757056341,-1.77551806095797,-2.11075716242562,-1.66187859817086
"CM002238.1.343583.344583",-2.0228053101407,-2.52618242499813,-1.70324090165152,-2.07154422187912,-1.58708181473657
"CM002238.1.343837.344837",-2.13235266759688,-2.27634588125923,-1.72154758667408,-2.04064815123308,-1.67376626093236
"CM002238.1.381226.382226",-2.00287890044277,-2.57551867432377,-1.78855979333858,-2.08833641220339,-1.57228669364047
"CM002238.1.386039.387039",-1.85466754226478,-2.25879571101104,-1.82560121099684,-2.08456954955318,-1.7667842102856
"CM002238.1.386020.387020",-1.85171293213052,-2.21047728330792,-1.78434231330878,-2.06566450307458,-1.75714476328694
"CM002238.1.390336.391336",-2.06723660356935,-2.3880236387087,-1.64080308065051,-2.50162570095293,-1.94858662832654
"CM002238.1.393053.394053",-2.52607760261685,-2.17874364624112,-2.01831598184883,-2.21227360250812,-1.06505206851215
"CM002238.1.393403.394403",-2.22011442447866,-1.94341909673339,-1.7055684347954,-2.0440849897071,-1.6056837900149
"CM002238.1.395310.396310",-1.885236961174,-2.29848705767605,-2.05872554145481,-1.74988369130585,-2.05278868372137
"CM002238.1.398176.399176",-2.52666234040992,-2.22230713470536,-2.03641805799814,-2.05860468837407,-2.19790954513657
"CM002238.1.400170.401170",-2.25067671641935,-2.25181082467822,-1.94604793259065,-2.28466551900635,-1.43022236130841
"CM002238.1.401180.402180",-2.35840222824803,-1.77409843328666,-2.04237205926735,-2.39898442987344,-2.16653037934927
"CM002238.1.426575.427575",-2.35748557305489,-2.31508854960932,-1.85702005101894,-2.2595248097706,-1.47810502282493
"CM002238.1.428547.429547",-2.05290972321023,-2.28827943496989,-1.86466558419319,-2.16448135781391,-1.53126364503451
"CM002238.1.430124.431124",-2.1440896537802,-2.18307361713856,-2.07644291915875,-2.21702932136536,-2.24920029184181
"CM002238.1.449458.450458",-2.22601552334776,-2.09506635362788,-1.82326179843619,-2.18049680849667,-1.62841129364188
