"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.4465317.4466317",0,0,-3.95697045995932,-3.26830618560259
"CM002237.1.4467612.4468612",0,0,-3.83496789269333,-2.57783009493697
"CM002238.1.8256.9256",0,1.29851098914467,-2.85383794028676,-2.16734466468526
"CM002238.1.11870.12870",0,0,-4.27635255251511,-3.5687109252462
"CM002238.1.28170.29170",0,0,-3.09900433892511,-2.46865513822351
"CM002238.1.30599.31599",0,0,-3.67494722299235,-2.72998822477324
"CM002238.1.161404.162404",0,0,-3.19565370286043,-2.8489047283182
"CM002238.1.162882.163882",0,0,-3.25448863523391,-2.52829988015597
"CM002238.1.167007.168007",0,0,-2.19608087629539,-2.39156996295531
"CM002238.1.200169.201169",0,0,-2.695869362925,-2.5220969563651
"CM002238.1.218438.219438",0,0,-1.77963605352116,-3.60158857318577
"CM002238.1.221618.222618",0,0,-2.6260897745125,-3.10773393532508
"CM002238.1.223109.224109",0,0,-2.52686229221095,-2.48139165337852
"CM002238.1.223365.224365",0,0,-2.37867748292165,-2.51449316615233
"CM002238.1.224708.225708",0,0,-2.5938497973755,-4.44874123027722
"CM002238.1.229458.230458",0,0,-1.60583997590951,-3.87261443645618
"CM002238.1.233968.234968",0,0,-1.57823535616243,-4.14907960204869
"CM002238.1.233920.234920",0,0,-1.61307526855716,-4.17904538054472
"CM002238.1.238377.239377",0,0,-2.5699187394898,-3.39438811983857
"CM002238.1.238407.239407",0,0,-2.61674981946715,-3.39314085236063
"CM002238.1.243748.244748",-0.919317060922761,-0.747162891862136,-3.10492629403489,-4.15847302024212
"CM002238.1.247405.248405",0,0,-2.97998832806103,-3.89392617588936
"CM002238.1.252198.253198",0,0,-2.68689860648837,-2.34979234904013
"CM002238.1.264422.265422",0,0,-1.05792176269442,-4.49012731894926
"CM002238.1.265739.266739",0,0,-1.47349483233812,-3.71070831577034
"CM002238.1.268061.269061",0,0,-2.32389637460033,-3.85535569468695
"CM002238.1.271106.272106",0,0,0,-4.2236249429253
"CM002238.1.272674.273674",0,0,0,-4.77847694910431
"CM002238.1.273858.274858",0,0,0,-4.6450247432556
"CM002238.1.275772.276772",0.921618022090314,0,0,-1.13758861715765
"CM002238.1.279201.280201",0,0,-2.20339605622842,-3.80539113969007
"CM002238.1.279999.280999",0,0,-1.53157129478865,-4.21854536675566
"CM002238.1.285185.286185",0,0,-1.37200505491275,-3.25125117485034
"CM002238.1.284489.285489",0,0,-1.57759744968477,-3.06797923228796
"CM002238.1.290825.291825",0,0,0,-3.05468863924572
"CM002238.1.291002.292002",0,0,0,-2.81870841927368
"CM002238.1.295350.296350",0,0,0,-3.64427495888853
"CM002238.1.298561.299561",0,0,0,-3.67465712649553
"CM002238.1.298935.299935",0,0,0,-3.82856506780993
"CM002238.1.343583.344583",0,0,0,-2.8604247285429
"CM002238.1.343837.344837",0,0,0,-2.84188163648172
"CM002238.1.381226.382226",0,0,0,-4.03412076707693
"CM002238.1.386039.387039",0,0,0,-3.67473102218237
