"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.56203.56983",-1.71711578978595,-1.77334815440668,-1.59821324092095,-1.54252076762888,-1.42219185840096
"CM002237.1.70444.71887",-1.71174246056123,-2.14731864085401,-1.53051896998884,-1.5300080083302,-1.25892875459692
"CM002237.1.73201.74342",-2.00513653364072,-1.91255874026625,-1.36267588284714,-1.43104215355295,-1.46241139124662
"CM002237.1.74558.75400",-1.75900187798327,-1.38357676162905,-1.68223658508844,-1.32217550815304,-1.33325739765853
"CM002237.1.76424.78257",-1.82772591121562,-1.81702721721088,-1.74821024715407,-0.71433345619806,-1.2968614568092
"CM002237.1.107019.108114",-1.59946044970952,-1.85633249332311,-1.31086918039832,-0.999465260993774,-0.991190725633593
"CM002237.1.147606.148334",-1.84769552181912,-2.03533205765817,-1.32532029267289,-1.28471829394888,-1.08680982736792
"CM002237.1.562860.563629",-1.82918119296839,-1.30063795792172,-0.862841684806544,-1.40325901801216,-0.994566645386722
"CM002237.1.564402.565440",-1.96352344482328,-1.56755342914239,-1.88327818081111,-1.54997533108164,-1.63127710054876
"CM002237.1.565861.567505",-1.78574738906983,-2.1211226789506,-1.89270226626272,-2.04331563247694,-1.42766646712393
"CM002237.1.568989.570312",-2.12804066880027,-2.22282860703422,-1.70765398954476,-1.94852642394454,-1.45591512777937
"CM002237.1.585152.586019",-1.91448070880299,-2.13013707136812,-1.12357302722718,-1.779178158965,-1.25424849181264
"CM002237.1.1677866.1678593",-1.54018832269167,-1.44879327516858,-1.26090500146065,-1.63601626481367,-1.15341335983033
"CM002237.1.1680516.1682564",-1.99893062294609,-1.85394352182711,-1.40609629548156,-1.49575768708324,-1.12098074711581
"CM002237.1.1683361.1684546",-1.67468178044249,-2.0022078977979,-1.23623850130869,-1.33175282525774,-1.52833315306952
"CM002237.1.1685913.1686735",-1.78146507808829,-1.61431855560688,-1.01885722075755,-1.01208101496777,-0.899038824887403
"CM002237.1.4044659.4046143",-2.17070077072315,-2.17372727554993,-1.8349972784153,-2.0183552539759,-2.1601143889719
"CM002237.1.4164713.4165274",-2.19906777255509,-2.05584167831786,-1.50153423298476,-1.65203781774383,-1.38766093788696
"CM002237.1.4298462.4299228",-2.10634713289894,-2.03656631523981,-1.54370445509392,-2.03921809433094,-1.53236678339664
"CM002237.1.4447139.4448862",-2.08465658428455,-1.97232894960395,-1.71352607761029,-1.70510141261663,-1.42591805240702
"CM002237.1.4451074.4452364",-1.73928043382159,-1.82936051874269,-0.990019078034773,1.71061449404275,1.34126754568
"CM002237.1.4466317.4468439",-0.54342877199364,0,0,1.32928909965064,1.52941350305083
"CM002237.1.4468612.4470618",-2.6468512489477,-2.27864927051927,-2.08238046326501,-1.25221102932029,-1.46381435069769
"CM002238.1.9256.12729",0,-0.661602459742851,0,1.41107380525666,1.53177795648944
"CM002238.1.12870.14169",-1.72543722019134,-1.69401418013914,-1.46157340228705,0,-0.72089131265031
"CM002238.1.29170.30638",-0.739134364094153,0,0,1.40301235224705,1.48269658906181
"CM002238.1.31599.31686",-2.26560584334998,-1.78787453933217,-2.4083170811824,-2.7680236799419,-3.11730515518009
"CM002238.1.159464.161404",-1.77229282990043,-1.81680819063894,-1.56714159434877,-1.27241323317008,-1.55714925457189
"CM002238.1.163882.164706",-1.65186444220818,-1.99018037359773,-1.82261747763852,-1.85807957670758,-1.16918144863739
"CM002238.1.165972.167007",-1.80808072377755,-1.80782861335252,-1.48624675000162,-1.68333784517328,-1.26656896452316
"CM002238.1.199774.200169",-1.73492558240915,-1.60297974394248,-1.21911184877402,-1.39826782608963,-0.858958057097138
"CM002238.1.219438.219552",-3.91971959758852,-2.33892128327752,-2.51310788821544,-2.58219664822292,-2.15720455772471
"CM002238.1.219918.221618",-2.25635826158366,-2.21766200245672,-1.70910220574207,-2.18216592825219,-2.01527472826372
"CM002238.1.224109.224199",-3.77167208908775,-3.09713533270462,-3.22643575009999,-3.48677917132546,-3.94758875533821
"CM002238.1.224365.225339",-2.3929399079827,-2.46623985173483,-2.08730303212724,-2.2494874234027,-2.41620068136701
"CM002238.1.225708.227571",-2.15078180514032,-2.51576247229626,-1.83214968911945,-2.14398554205387,-1.5226884869618
"CM002238.1.228015.229458",-2.02180317358803,-2.14778827874673,-1.70934530366072,-2.31357225818564,-1.40146652934207
"CM002238.1.230216.233968",-2.21387305611924,-2.38224457005813,-1.78728292528113,-2.09687534736275,-1.64984005919446
"CM002238.1.234920.236971",-2.34611270374071,-2.38677126340075,-1.88046787746832,-2.10104424471134,-1.65460375320059
"CM002238.1.237023.238377",-2.25516110027667,-2.21860147515067,-1.57744611143731,-0.662004723791129,-0.911125611806984
"CM002238.1.239407.241233",-2.0696636940707,-2.45312765428753,-1.72186874403816,-1.8792589865673,-1.69058382889947
