"","WT_0hr_rep1","WT_0hr_rep2","WT_0hr_rep3","WT_24hr_rep1","WT_24hr_rep2","WT_24hr_rep3","qa_0hr_rep1","qa_0hr_rep2","qa_0hr_rep3","qa_24hr_rep1","qa_24hr_rep2","qa_24hr_rep3"
"NCU10129",1596.40123188625,280.776150965303,254.503888251995,513.304076536848,589.925497460935,686.989403278229,199.758371761226,154.946966399215,167.973583014958,501.445450445171,258.75731906494,372.481159099015
"NCU09901",402.858314637961,296.778936771615,380.543909100603,206.699628135643,275.620929141584,176.389171111978,211.555125999094,453.604287130526,380.538091417908,233.671053733896,219.551664661161,230.938318641389
"NCU09903",138.294645323479,725.944556122726,837.438984676804,106.794807870082,430.355485852649,380.629263978478,102.238536728186,1027.8543038238,692.24164752814,147.781152901977,325.406931551364,230.938318641389
"NCU09904",1779.79195720651,81.4687277412277,67.8677035338655,304.881951500074,65.2786411124805,77.3636715403412,1926.80319218505,108.817716860517,187.455055271848,59.365078516179,160.743183055493,148.992463639606
"NCU14001",18.0384319987146,2.90959741932956,2.42384655478091,5.16749070339109,2.41772744861039,3.09454686161365,3.93225141262256,10.6452114320071,8.65843211417311,5.6838904962299,5.88084816056682,7.44962318198029
"NCU09906",6167.64054089385,142.570273547149,129.675790680779,809.57354353127,128.139554776351,179.483717973591,5400.55409009582,283.280904218412,589.639226975189,95.9945950474383,231.313360982295,201.139825913468
"NCU09909",99.2113759929306,232.767793546365,253.291964974605,5.16749070339109,4.83545489722078,6.18909372322729,51.9057186466177,216.452632450812,233.777667082674,13.8939545463398,11.7616963211336,7.44962318198029
"NCU09910",96.2049706598115,163.664854837288,118.768481184265,144.68973969495,227.266380169377,164.010983665523,93.5875836204168,218.818234991258,158.449307689368,104.836202486018,184.26657569776,189.965391140497
"NCU09911",1844.42967186857,3980.32926964284,3577.59751485662,1470.15110511476,993.68598137887,1500.85522788262,2944.46985777177,4718.78566755472,3981.1470860968,980.155338905423,529.276334451014,275.636057733271
"NCU09912",416.387138636996,235.677390965695,253.291964974605,260.097032070685,483.545489722078,328.021967331046,207.622874586471,325.270349311329,273.60645480787,267.774396711275,317.565800670608,342.682666371093
"NCU09913",204.435562652099,14.5479870966478,16.9669258834664,31.0049442203465,36.2659117291558,18.5672811696819,50.3328180815687,5.91400635111507,6.92674569133849,14.5254979348097,7.84113088075576,14.8992463639606
"NCU09914",57.1217013292631,162.937455482455,109.679056603836,13.7799752090429,21.7595470374935,12.3781874464546,110.103039553432,83.978890185834,78.3588106332666,15.1570413232797,23.5233926422673,14.8992463639606
"NCU10501",9.01921599935732,2.90959741932956,0,0,0,0,8.65095310776962,0,3.46337284566924,0,0,0
"NCU08049",216.461183984576,229.130796772203,199.967340769425,1142.8766939,425.520030955428,451.803841795592,136.842349159265,223.54944007215,309.10602647598,482.499148791071,272.479298106263,312.884173643172
"NCU08050",6.01281066623822,49.4631561286025,43.6292379860564,6.88998760452145,12.0886372430519,9.28364058484094,6.29160226019609,13.0108139724532,16.4510210169289,2.52617355387996,3.92056544037788,22.3488695459409
"NCU08051",263.060466647922,234.22259225603,174.516951944225,359.140603885681,502.887309310961,532.262060197547,261.101493798138,366.668393769135,311.270634504523,312.613977292645,1042.87040714052,946.102144111497
"NCU08052",11329.6384978594,456.806794834741,319.94774523108,1160.96291136186,855.875516808078,652.949387800479,7624.63548907514,516.884155087457,572.322362746842,841.215793442025,819.398177038977,1624.0178536717
"NCU08053",363.775045307412,1368.23818643973,1342.20502970993,716.558710870231,420.684576058208,433.23656062591,563.09840228755,1686.08321070291,1419.54994511868,779.324541371966,876.246375924456,260.73681136931
"gh3-2",1208.57494391388,561.552301930605,598.690099030885,335.886895720421,379.583209431831,249.111022359899,754.992271223531,489.679725872328,467.555334165348,362.505904981774,431.262198441567,424.628521372877
"NCU08055",3824.14758372751,4446.5922560904,4287.78455540743,9763.11243560689,5183.60764982067,4624.80028468159,7455.54867833237,5464.54186843033,6124.97487756606,7185.70067401153,11110.8824580309,5456.84898080056
"NCU08056",33.0704586643102,174.575845159774,174.516951944225,58.5648946384323,355.405934945727,185.672811696819,53.4786192116668,186.882600695236,160.180994112203,95.9945950474383,117.616963211336,134.093217275645
"NCU08057",2008.27876252356,596.46747096256,510.219699781381,511.581579635718,696.305505199792,461.087482380433,682.638845231276,473.120508089206,607.821934414952,310.719347127235,145.060921293981,216.039072277428
"NCU08058",75.1601333279777,7.2739935483239,10.9073094965141,5.16749070339109,21.7595470374935,9.28364058484094,26.7393096058334,4.73120508089206,12.1218049598424,8.84160743857984,3.92056544037788,14.8992463639606
"NCU08060",15.0320266655955,42.1891625802786,27.8742353799805,53.3974039350412,31.4304568319351,24.7563748929092,29.8851107359314,56.7744609707047,62.3407112220464,37.8926033081993,19.6028272018894,52.147362273862
"NCU08062",39.0832693305484,43.6439612899434,33.9338517669327,25.8374535169554,33.8481842805454,27.8509217545228,25.1664090407844,56.7744609707047,45.0238469937002,32.8402562004394,39.2056544037788,7.44962318198029
"NCU08063",231.493210650171,400.069645157815,414.477760867535,225.647094048077,360.241389842948,328.021967331046,228.070581932108,426.991258550508,478.378374308064,315.771694234994,493.991245487613,536.372869102581
"NCU08064",1680.58058121358,521.545337414824,575.663556760466,1220.38905445086,1624.71284546618,1308.99332246257,570.962905112795,294.517516285531,490.933100873615,866.477528980825,639.052166781594,1340.93217275645
"NCU08065",169.86190132123,126.567487740836,124.828097571217,230.814584751469,222.430925272156,167.105530527137,182.456465545687,138.387748616093,129.010638501179,237.460314064716,239.154491863051,89.3954781837635
