"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCU10129",541.192531292678,-0.903736562854783,0.571823663738547,-1.580446246219,0.114004707829234,0.274297738853575
"NCU09901",320.377034201573,-1.09027880484581,0.318037820388762,-3.42814198485285,0.000607727524176919,0.00559248015246208
"NCU09903",523.454663707735,-0.327004894310436,0.751099728992225,-0.435368143121539,0.663295230005062,0.810146218556368
"NCU09904",654.921178597206,0.717237361545976,1.10423213130644,0.649534949410863,0.515992663980183,0.707694947768739
"NCU14001",7.73819365343947,-0.129785722297573,0.870479163407712,-0.149096874173868,0.881477192370807,0.941778173373652
"NCU09906",2796.57179616221,1.66618239480521,1.18417457743808,1.4070411800344,0.159415178122939,0.342746496638049
"NCU09907",1.59230630218341,5.21012753108966,2.89786094012703,1.79792185986028,0.0721893914678865,0.201761843639452
"NCU09909",351.002749974517,2.46593516195921,0.656252735759784,3.75759982029522,0.000171550941523335,0.00199899072069617
"NCU09910",223.557901711806,1.2602008595443,0.373181109464183,3.37691492839416,0.000733037180385886,0.00644476989812011
"NCU09911",2381.27539581138,-1.76013636683756,0.447471421463758,-3.93351682902975,8.37119750056802e-05,0.00112007380132035
"NCU09912",386.265755997282,0.259958575482178,0.32811101462377,0.792288475229216,0.42819249004617,0.634320283928625
"NCU09913",37.0768188715228,-2.61140994230776,0.969102978509996,-2.69466713054873,NA,NA
"NCU09914",68.1530249802861,-1.21279519705287,0.420145635493369,-2.88660667777425,0.00389420708311093,0.0239318936902585
"NCU10501",6.08073281783475,2.17195759643396,1.8005642969649,1.20626494710303,0.22771534872952,0.430349991175879
"NCU08049",398.39996437643,-0.288407159895493,0.422834148618572,-0.68208104959767,0.495187702672538,0.69145444835638
"NCU08050",28.7888369845725,0.726408013044553,0.76606085618838,0.948237998556507,0.343008306745857,0.557090203065269
"NCU08051",517.355032573391,0.713351221794593,0.396048041901029,1.80117345958968,0.0716755441767889,0.200996937816052
"NCU16303",0.441948355800563,1.31049185321107,4.69416205664853,0.279174821277201,0.78011066546006,NA
"NCU08052",2898.7652991418,-0.391678840630136,1.08141948307428,-0.362189554340803,NA,NA
"NCU08053",1057.01881575009,-0.0844897086907293,0.557501330423529,-0.151550685316828,0.879541331412476,0.941069973581
"gh3-2",861.24400577145,0.911115148784741,0.330476057457966,2.75697778469361,0.00583383148414752,0.0329840147201228
"NCU08055",8523.21991335052,1.29484235008319,0.374051658727008,3.46166717851182,0.000536840585900914,0.00505017268030435
"NCU08056",198.102507153572,0.92584556682612,0.680360967602408,1.36081523031634,0.173572087590596,0.361275924217781
"NCU08057",702.289138791048,-1.04976821772487,0.485546011814133,-2.16203653656354,0.0306153600706363,0.110897860019034
"NCU08058",17.2081144556115,-2.85950584863267,0.965743109229399,-2.96093839169546,0.00306703283655126,0.019916612307302
"NCU08060",53.5175035583949,1.27906501728644,0.480165645068079,2.66379952506825,0.00772635930942781,0.0403416912501084
"NCU08062",49.1770684857253,0.781222770995483,0.405483201622058,1.92664645013739,0.0540237056667177,0.165021872987743
"NCU08063",462.289135847186,0.305129657547827,0.354152936110844,0.861575964606224,0.388920902099482,0.599131230376032
"NCU08064",1183.33983434226,0.350822555144839,0.476135763102283,0.736812023652749,0.461236670282642,0.663150343449101
"NCU08065",211.387795479961,0.428495141542795,0.331055336832357,1.29433086819495,0.195551158510634,0.391941782003577
"NCU08066",1617.03953459747,0.489866614301827,0.279302146580555,1.75389491380275,0.0794485152836013,0.216171214317388
"ro-10",180.23878506842,0.0677733599795399,0.385000099980355,0.176034655531253,0.860266716377445,0.930094581472799
"NCU08067",1519.56439735565,0.230158743261285,0.218137143888754,1.0551102813497,0.29137489038005,0.501997796185944
"NCU08068",126.205487158391,0.299463371280949,0.457212920070616,0.654975741356342,0.512483372886846,0.704734149880516
"NCU08069",70.4517568501701,-0.191224680752967,0.438458167753094,-0.436129817658341,0.662742544358844,0.809805662673183
"NCU08070",2107.337669787,-0.492629504476027,0.680355375041521,-0.724076743637048,0.469018621395321,0.670169895753645
"cyt-21",607.536761322774,-0.121140918896029,0.416916407823659,-0.290564047427147,0.77138476019642,0.881937647596654
"NCU08072",1647.38487946712,0.0271217164211207,0.262273032691766,0.103410236816056,0.91763738790108,0.960867117561967
"NCU08073",1.08113209858667,0.0883820024364902,2.40424818945894,0.0367607648927377,0.970675757968637,NA
"NCU08074",1.56937412042277,-0.694121798068296,2.27960910197326,-0.304491589135811,0.760753399634912,NA
"NCU08076",232.202323273056,2.58498436268719,0.317887396246952,8.13176109907496,4.23098037027815e-16,8.15935366624729e-14
"NCU08077",1.43333142829191,-3.4658768378068,2.37653778576451,-1.45837228365038,0.144737956006973,NA
"NCU08078",2.18746197563798,-2.20155430214484,2.15035852014949,-1.02380802155344,0.305925960822487,0.517596661504636
"NCU08079",1.63907023764259,-0.733331433277612,1.59074428831267,-0.4609989416058,0.644799364447672,0.796881465870061
"NCU08083",1.47075904507725,-0.455482650193495,2.40203691276067,-0.189623501526464,0.849604169776231,NA
"NCU08084",2.6910930767629,0,2.72538975844373,0,1,1
"NCU08085",9.18876758583079,4.64082941704554,1.49445741486043,3.10536076230647,0.0019004707371392,0.0136732164713397
"NCU08087",22.8252977867984,-5.52352396229649,1.31442992141383,-4.20222019623175,2.64309844020761e-05,0.000439904807937742
"NCU16306",953.505592435327,-0.409198011680612,0.418492515209892,-0.977790514306765,0.328177943479606,0.542841298788441
"NCU08090",662.082634412814,0.812475549992141,0.318935518653428,2.54746023090335,0.0108510220416326,0.0520966912907934
