"order_idx","gene","cluster","K27_WT","K27_cac1","K27_ash1","K36_WT","K36_cac1","K36_set7","RNA_cac-1","RNA_set-7","RNA_ash-1"
1,"NCU16718","K36 lost",4.58948678686143,4.89167528911238,2.88940707111126,-1.23915706565791,-2.3824226749716,-3.60644986793481,1.4976427760005,-0.538840612113112,-0.538840612113112
2,"NCU09634","K36 lost",4.94848423360183,4.88486525764013,1.72964166015117,0.702980950165006,-0.081461056750669,0.602295923495459,-0.642335104994494,1.05041494146067,0.632850004989418
3,"NCU08238","K36 lost",4.99465608911083,4.87567077875136,3.57259530790815,1.05439711007691,0.389151544150689,1.18352092494025,1.5,-0.5,-0.5
4,"NCU08258","K36 lost",4.87383303202433,4.70067461566535,4.01132441249499,0.946544335939182,0.229650202883445,1.00344401815024,1.5,-0.5,-0.5
5,"NCU05096","K36 lost",5.22509388388537,4.50239287491051,3.74485229329882,1.06920993833103,-0.642667701146709,1.2306655945382,0.095411683373115,1.36724098104665,-0.570279286202556
6,"NCU07147","K36 lost",4.89575966994992,4.48130697344818,3.18015035392629,0.633275582493096,-0.0666531229565766,0.618813848557045,-0.485759119244504,1.49899743740433,-0.463498305468305
7,"NCU05098","K36 lost",4.68305140547915,4.39111415760406,3.29594037137301,1.1932613520307,0.025825266095757,0.791612572376548,-0.470800838202146,1.49927845231615,-0.542765915233609
8,"NCU05091","K36 lost",4.88049061702061,4.34078846285183,3.3410405912466,1.2569370039385,0.64386115660596,1.22639134390375,1.5,-0.5,-0.5
9,"NCU08106","K36 lost",4.54582215708664,4.33881395794938,3.35352314115086,0.752393203070957,0.0900929902547663,1.06424105584192,-0.525747845990161,1.4989787563467,-0.525747845990161
10,"NCU07148","K36 lost",4.68560982000105,4.31433719014467,2.85710585149257,0.319186412490552,-0.227127520092291,0.127662471124619,-0.474377290281522,1.49969729192599,-0.523468936221314
11,"NCU08254","K36 lost",4.73404613960157,4.17280698597294,3.36131429144887,1.54803655856514,0.885096889588307,1.70660835669905,1.338606445623,-0.765274687746099,0.191942929869196
12,"NCU05086","K36 lost",4.25092507908494,4.03466652822047,2.93250668021645,0.886422946278143,-0.201594261886774,0.477344279538653,0.553010223390131,1.11169791010246,-0.641722400119764
13,"NCU07149","K36 lost",4.44300045115792,3.9421599865469,2.4207967321997,0.971619553972431,0.0220491152956282,0.623271584767276,0.405631447354415,0.503598717326949,0.586658588372393
14,"NCU05175","K36 lost",3.96291736532968,3.70734578917822,1.71866781154072,0.652807553684607,-0.158034500350215,0.874106437148512,-0.325202032376969,-0.516842634309531,1.48699553168134
15,"NCU08756","K36 lost",4.244670451711,3.67760335039052,2.34228715164298,1.10149896853951,0.32544183828117,0.827628490217871,-0.189323298036358,-0.178078607291595,1.38056197601348
16,"NCU08244","K36 lost",4.34714467375829,3.60664124968635,3.38287444413038,1.61114445022929,0.873363834163197,1.96216530170911,1.4978887185348,-0.424288762040343,-0.536799978247228
17,"NCU07226","K36 lost",3.75269262279201,3.59217816492552,2.38571735328277,0.558714479509534,-0.197387351732599,-0.471031226818119,0.0718270498445523,1.36651343077647,-0.503450225799136
18,"NCU05173","K36 lost",3.85408258074898,3.55784692464328,1.05057059298153,0.91896889392497,-0.0196298069449408,-0.152374174326547,-0.750400579362544,0.936448023056064,0.785229443520238
19,"NCU08243","K36 lost",4.65720838451002,3.55007561813467,3.52055025507279,1.6709938766372,0.851431050766065,1.48410513441905,0.267781189085625,1.30223543659292,-0.785008312839274
20,"NCU07212","K36 lost",3.95487373095359,3.51909946211144,2.67169939925265,1.32542061204118,0.734372791655766,1.57301216221019,1.07203370225409,-0.754463959453398,0.625785904357343
21,"NCU04882","K36 lost",4.01682135843803,3.47704895239228,3.42211467624727,1.2658609396892,0.476381499727384,0.695107668592184,1.25703960446981,-0.655800687058359,0.335396568507079
22,"NCU07235","K36 lost",3.47471829388939,3.40970961428892,2.85356402281604,0.675910269725927,0.292718065213883,0.750325681025388,-0.132146292015245,0.0481499400070956,1.26197589039246
23,"NCU07632","K36 lost",4.41478480520654,3.40713088571143,2.97747334134766,1.18212385479402,0.533690659089669,1.64799319954502,1.49286937340645,-0.566488587422227,-0.566488587422227
24,"NCU05106","K36 lost",4.18414795672006,3.22919341955958,2.414654772155,1.23316645594014,0.256491347408178,0.472912586142425,-0.0601691648377163,1.43313173316129,-0.686481284161789
25,"NCU16720","K36 lost",3.57632095046065,3.18135203434166,0.69628452706129,0.544360866652423,-0.767287667090305,-1.58372465263922,-0.092181700045891,0.193712127950969,1.16348845224865
26,"NCU07646","K36 lost",4.1970078127114,3.1756453932022,3.54645471143435,1.19419586347522,0.58546812406099,1.33279026311997,1.5,-0.5,-0.5
27,"NCU05097","K36 lost",4.53882770004419,3.17398792423709,2.05595419570813,0.347662786401932,-0.82937160308708,-0.822745191648794,-0.139608169277846,1.41050291727702,-0.938271043135587
28,"NCU08206","K36 lost",3.78709185811464,3.1056140600825,3.19091587239081,1.61642435553569,0.964588269706285,1.03490180780227,0.324632074536825,1.26803441787623,-0.892274512707322
29,"NCU07640","K36 lost",4.23323163406696,3.09195386262028,3.00558074597657,1.18525730755592,0.283842772205457,1.06264414842514,0.586640760497852,1.10602567331814,-0.846333216907994
30,"NCU09907","K36 lost",3.78437044495199,3.02373731597588,2.70191370893138,0.888495955489205,-0.0903886651864825,0.731213151695681,0.143839506422051,1.32926379363229,-0.484211307419146
31,"NCU08208","K36 lost",3.86119132526786,2.99935137509633,3.05778418650515,1.3784817312325,0.743070292945103,1.26541267797346,-0.556651527309083,1.49488292429435,-0.556651527309083
