"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_set7","K36_cac1","K36_cac2","K36_set7","RNA_cac-1","RNA_cac-2","RNA_set-7"
98,"NCU12068","K27 lost only",2.77068868869318,1.70774060792375,0.0981722053170058,0.0713086497631017,-0.0339978956104829,-0.156909170947594,0.687666382122059,0.571506020310413,1.39442927953341
99,"NCU12077","K27 lost only",2.6956192066689,1.7097195147563,0.436239699126245,0.878148828347793,0.991496754478142,1.51168228396578,-0.333333333333333,2.66666666666667,-0.333333333333333
100,"NCU11087","K27 lost only",1.56712131396204,2.78140959645464,0.473118611777022,0.998682324159153,0.92089288175511,1.2485005796051,1.87578406182519,0.981266272455967,-1.00300715185926
101,"NCU08076","K27 lost only",1.87036696714436,2.46230194938376,0.211693030838521,-0.913546546019403,-0.606512796518127,-0.793988403706603,0,0,0
102,"NCU07626","K27 lost only",2.12959234489783,2.20080889077623,-0.188420680395308,-1.49919712895489,-1.40754471227247,-1.96116776287174,0,0,0
103,"NCU08916","K27 lost only",1.69778253495302,2.6187333888807,0.518363914855821,0.702669024627723,0.836836487318721,1.59990070237089,2.02875685116139,0.791576807161377,0.405179170166818
104,"NCU15684","K27 lost only",2.71043659930246,1.57446129009639,-0.08729726511366,-0.383203535029031,-0.614678757235689,-0.440713197239038,0,0,0
105,"NCU08078","K27 lost only",1.9679179500209,2.29513278604535,0.595485969315912,-0.246573324512527,-0.266875159946652,0.775529899747868,2.25116728947448,0.348709066170057,-0.443747691603511
106,"NCU08917","K27 lost only",1.81214403758332,2.42106393317856,0.616834164469739,0.438926860469773,0.305370052642756,1.24301617147785,1.68455293222489,1.11569685729428,0.270331137253346
107,"NCU07105","K27 lost only",2.42647237139156,1.79238237871279,0.460732770084243,1.24065095100647,1.13228101350567,1.51033552040727,0.638235632591997,1.01602708880339,-0.619586288005059
108,"NCU07104","K27 lost only",2.3717495157139,1.84504994466863,0.737071562930744,1.2398268766501,1.06753654298125,1.410339739464,1.69188038403802,0.88406414748579,-0.664620459980479
109,"NCU04877","K27 lost only",2.07623241080894,2.12566292630134,0.513473840090657,0.847936885500661,0.964494249153459,1.3358152910593,1.1824973170071,0.704477366463617,-0.643327202236549
110,"NCU16926","K27 lost only",1.73399632063685,2.39003787612612,0.435937974076027,0.331423752257575,0.146641733990304,1.18277815692262,0.98034462863001,0.957886488658275,1.51691805823002
111,"NCU04876","K27 lost only",2.09241239591665,1.97922276421097,0.450336155615583,0.795675658874543,0.658187428145337,1.53207867225515,0.76251072027976,0.614235884680015,-0.598178717735772
112,"NCU16307","K27 lost only",2.01849692338914,2.02092430401815,0.580496299450594,1.2920917956744,0.810010500195378,1.8104809540577,-1.82681211944234,0.547060895294206,1.71828005589643
113,"NCU09276","K27 lost only",1.84589095014612,2.10023865458212,0.558032982805984,0.881982658452272,1.10508615438819,1.55466315411079,0.839448000073942,-0.069204988776975,1.97712323083525
114,"NCU04694","K27 lost only",2.90558936436661,0.932909370991754,0.184515177490164,0.70200564908543,0.515846300082333,0.192919267303882,-0.424265363228956,0.400438550261591,2.2320314274555
115,"NCU04879","K27 lost only",2.04013055241417,1.79294718628964,0.468862145332122,1.22123093870325,1.09557351014483,1.50495579212931,0,0,0
116,"NCU07623","K27 lost only",2.26618381152531,1.47990977620545,0.958434472340296,0.800400394781874,0.905286369248133,1.41563110779707,0.883877095489164,0.953857496620023,0.847343992336808
117,"NCU07109","K27 lost only",2.02729335631647,1.47839240069158,0.332099264153811,0.434209582186841,0.598459744736714,0.415477533870747,2.1417854286982,-0.0406322753812559,0.647373908796244
118,"NCU07652","K27 lost only",1.68308955804674,1.78179100424317,0.199375728914826,1.27775625910317,1.11134291508966,1.21448262521908,0,0,0
119,"NCU15361","K27 lost only",2.04120138771968,1.41008579579029,0.0853574722072493,0.846122611150399,0.470371984191802,0.633130062586629,0,0,0
120,"NCU04695","K27 lost only",2.64937043282302,0.79951257555413,0.664079534064836,1.10277151440276,0.902749669944215,1.04122676838632,0,0,0
121,"NCU09726","K27 lost only",1.39858575238883,2.01697940848966,0.490957055886943,0.694882151705977,0.751722876628544,1.20551392308887,0.918433242362052,1.51243288350176,-0.656831128544642
122,"NCU05056","K27 lost only",1.52397022345891,1.77698592020192,0.536051596879573,-0.144202642695632,-0.092887870128797,0.901177756324737,0.963454142466619,1.72758849335569,-0.386914783115495
123,"NCU05463","K27 lost only",1.18265610155087,2.11013417004153,0.368876287807889,1.23113260872515,1.3347438486186,1.55810874863948,2.05375182817215,1.0190993120543,-0.14414245784183
124,"NCU08918","K27 lost only",1.26466917604124,1.93373837223211,0.343393863513988,-0.358193916531801,-0.280388483159222,-0.603973188135204,0.613008089652402,1.29986244351617,1.59690418993439
125,"NCU07095","K27 lost only",2.00755452292488,1.01681564336315,0.198513281166531,0.708771155305874,0.707779956000876,0.779206960156296,0,0,0
126,"NCU07115","K27 lost only",1.98285250518932,1.01903375989854,0.205928530672966,0.454830994531701,0.385620188987404,0.650068811771681,-0.162962844327064,1.15188162619238,1.56491413175944
127,"NCU08096","K27 lost only",1.28679140807149,1.6627947640957,0.430409762602864,0.929176985573922,1.062216706862,1.33350187780116,0.125161151584696,1.33623619263727,1.88300658180851
128,"NCU09455","K27 lost only",1.19399087305239,1.62589228322342,0.178176816607163,1.36620309511815,1.54517327250176,1.71822025780214,2.50082975485027,0.0257343860516108,0.484177274712226
129,"NCU08558","K27 lost only",1.60273853547587,1.1343646631951,0.481273254874843,0.91513288265799,0.662425718127703,1.49959882182582,0.729589406106866,-0.470297788154802,2.06830059589368
130,"NCU07110","K27 lost only",1.74664386029175,0.956892850506525,-0.364322412243308,-0.798137849322727,-0.651266543427064,-1.52631571585305,0,0,0
131,"NCU04697","K27 lost only",2.01487652818438,0.619112415094513,0.419855266826678,1.12723313878013,1.13195373134541,1.22273497431402,0.699087918456539,0.39150820802209,-0.400366807183544
132,"NCU12051","K27 lost only",1.19840237541387,1.37776759069482,0.563416200173958,0.790853525125638,0.878833835889712,1.36801500140027,1.62710325934932,0.955667838249162,0.917862401380252
133,"NCU06899","K27 lost only",1.66739562708075,0.883030921375974,0.665489376172194,0.740287978514191,0.689974335893016,1.69149317760071,2.53834587796434,0.443500642749214,-0.290473246968787
