"order_idx","gene","cluster","K27_cac1","K27_cac2","K27_ash1","K36_cac1","K36_cac2","K36_set7","RNA_cac1","RNA_cac2","RNA_set7"
1,"NCU09634","K36 lost",4.88486525764013,4.99552086146637,1.72964166015117,-0.081461056750669,-0.0116052800023286,0.602295923495459,2.15583087842694,1.8728489057453,4.34901424010046
2,"NCU08238","K36 lost",4.87567077875136,4.60104087441092,3.57259530790815,0.389151544150689,0.102873855688644,1.18352092494025,3.91401263762299,0.756090080918981,2.46106571035576
3,"NCU14123","K36 lost",4.6119566905694,4.69189215896079,3.72384130638885,0.480140283695753,0.570240637836429,1.38617341208378,0,0,0
4,"NCU08258","K36 lost",4.70067461566535,4.51393885328052,4.01132441249499,0.229650202883445,-0.0148082450283966,1.00344401815024,3.10361513347088,0.755327569722611,2.46087820462356
5,"NCU05096","K36 lost",4.50239287491051,4.60678794293491,3.74485229329882,-0.642667701146709,-0.413151670805965,1.2306655945382,3.42921726277479,2.95868025432486,4.31956109415391
6,"NCU09640","K36 lost",4.64539448308484,4.27952521976031,2.30746146762195,0.417030040556681,0.184898611304132,-0.142768600677257,-1.57522457645263,-0.998304544062321,0.59630192610404
7,"NCU05091","K36 lost",4.34078846285183,4.50081409697711,3.3410405912466,0.64386115660596,0.506610518793936,1.22639134390375,4.32133310614744,1.98191767162103,2.46125735020711
8,"NCU16718","K36 lost",4.89167528911238,3.90962233436111,2.88940707111126,-2.3824226749716,-1.81800901776529,-3.60644986793481,4.49352153899858,0.183607866905089,1.88858261456185
9,"NCU05098","K36 lost",4.39111415760406,4.38570404656115,3.29594037137301,0.025825266095757,-0.167105000627859,0.791612572376548,1.56651399787943,1.01675728440317,4.58369834522999
10,"NCU07147","K36 lost",4.48130697344818,4.25183399419211,3.18015035392629,-0.0666531229565766,-0.342123056772442,0.618813848557045,2.77913031860316,1.30837175534142,9.55338561241292
11,"NCU08106","K36 lost",4.33881395794938,4.26745966007672,3.35352314115086,0.0900929902547663,-0.189369676497305,1.06424105584192,2.09164169514532,2.17621663468364,3.37692315510646
12,"NCU07148","K36 lost",4.31433719014467,4.08750282376961,2.85710585149257,-0.227127520092291,-0.536103711748237,0.127662471124619,2.58907440178977,1.17894572248344,9.36317184277467
13,"NCU08254","K36 lost",4.17280698597294,4.09588089838483,3.36131429144887,0.885096889588307,0.528449946803258,1.70660835669905,5.39768493770702,3.49062853289568,2.46148923478229
14,"NCU05086","K36 lost",4.03466652822047,3.83987295598975,2.93250668021645,-0.201594261886774,-0.210834344811452,0.477344279538653,4.31310415225513,2.96553469713279,3.8155893900261
15,"NCU07149","K36 lost",3.9421599865469,3.89797610509844,2.4207967321997,0.0220491152956282,-0.17569601231083,0.623271584767276,7.23901301417074,4.22310361827891,6.50703570807697
16,"NCU08756","K36 lost",3.67760335039052,3.93115165341762,2.34228715164298,0.32544183828117,0.515191730677618,0.827628490217871,5.43086248417242,4.95038325497456,4.85975254760885
17,"NCU07212","K36 lost",3.51909946211144,3.70499823425788,2.67169939925265,0.734372791655766,0.456187350082727,1.57301216221019,7.23123314222526,5.62932913536943,2.70550970418622
18,"NCU09170","K36 lost",3.84332249239217,3.33599255282224,2.25630371415961,-1.25308833120722,-1.30551743591673,-0.973345839300139,1.44510468556602,-1.17619847247401,1.00067550877272
19,"NCU08244","K36 lost",3.60664124968635,3.56521642941157,3.38287444413038,0.873363834163197,0.565389879729519,1.96216530170911,5.8002441134476,2.33438090699739,2.87075042759197
20,"NCU07226","K36 lost",3.59217816492552,3.46544886481437,2.38571735328277,-0.197387351732599,-0.125992338601015,-0.471031226818119,4.1949739656327,0.841101550054,4.65659667358232
21,"NCU17143","K36 lost",3.49584530673047,3.4965435732299,3.38213333755589,-0.28876453931528,-0.276550955718202,0.274252865298344,2.43165429264021,1.50265170768878,2.46085847574308
22,"NCU10039","K36 lost",3.5629477760865,3.40730781580571,1.51198058117587,-0.48065612113575,-0.456197531682784,-0.643187158584311,0.798957673161839,-0.279371433176895,3.31141299812711
23,"NCU08243","K36 lost",3.55007561813467,3.40471380668063,3.52055025507279,0.851431050766065,0.445015151828749,1.48410513441905,5.74168183524701,1.49543232394367,5.25265712901124
24,"NCU07632","K36 lost",3.40713088571143,3.54144718754502,2.97747334134766,0.533690659089669,0.270628061357042,1.64799319954502,3.1144749603505,1.37892944222054,1.86567197245915
25,"NCU05173","K36 lost",3.55784692464328,3.37874817162675,1.05057059298153,-0.0196298069449408,-0.287401620414153,-0.152374174326547,4.87267476256993,5.54899623406584,8.86978654872487
26,"NCU05175","K36 lost",3.70734578917822,3.18501683191694,1.71866781154072,-0.158034500350215,-0.183536534413047,0.874106437148512,4.16382856150828,7.93986242129619,2.68049886416726
27,"NCU04882","K36 lost",3.47704895239228,3.3418635784951,3.42211467624727,0.476381499727384,0.277982620877354,0.695107668592184,5.18354368275441,2.9440188621781,2.40213565330014
28,"NCU07235","K36 lost",3.40970961428892,3.40121121671357,2.85356402281604,0.292718065213883,-0.12904674963458,0.750325681025388,6.86083655414315,3.2753049988134,6.36507028731355
29,"NCU07646","K36 lost",3.1756453932022,3.32762656177791,3.54645471143435,0.58546812406099,0.344870863506681,1.33279026311997,5.42195352836192,3.98725938433735,2.4613662950071
30,"NCU05097","K36 lost",3.17398792423709,3.22009725354712,2.05595419570813,-0.82937160308708,-0.88493788589125,-0.822745191648794,1.01760856651192,1.0529828898509,3.37643052728034
31,"NCU05106","K36 lost",3.22919341955958,3.11641891872419,2.414654772155,0.256491347408178,0.28333436128019,0.472912586142425,6.4713079701425,6.02485283632788,8.54505079800965
32,"NCU07640","K36 lost",3.09195386262028,3.18903269519845,3.00558074597657,0.283842772205457,0.0276708606238948,1.06264414842514,5.46129985816107,5.35047099511823,5.17920484756229
33,"NCU05071","K36 lost",2.84906037703347,3.19056413427602,3.42390472424339,0.441431765065367,0.334567651720593,1.01863214370566,4.01582084477701,3.87494498868695,3.2755516872269
34,"NCU08208","K36 lost",2.99935137509633,2.97740594759202,3.05778418650515,0.743070292945103,0.573561851667799,1.26541267797346,1.83385816203718,2.51007293024524,2.90287644933522
35,"NCU09171","K36 lost",2.93706079919126,2.99629321284766,2.78719534048878,-0.0156667590891905,-0.463600988718387,1.24660513248898,6.90280945951707,5.36577480981035,5.35159773912199
36,"NCU09907","K36 lost",3.02373731597588,2.88316887167482,2.70191370893138,-0.0903886651864825,-0.446434163919529,0.731213151695681,4.89024768330092,5.53109216855542,5.00569104769716
37,"NCU08081","K36 lost",2.91817216781274,2.96309429796803,3.2337892414041,-0.863631035508208,-1.15670406518878,-0.544302532777665,2.43065621194252,2.3298594663291,2.46086820553207
38,"NCU08206","K36 lost",3.1056140600825,2.72501742382891,3.19091587239081,0.964588269706285,0.817554197695688,1.03490180780227,2.94431100288132,1.58244175260654,3.07507829108641
39,"NCU09908","K36 lost",2.93622833679736,2.80494159186426,2.69398459143155,0.121218631067498,-0.040409249758157,0.785159816904054,5.02379065173179,2.37247227282622,1.86560158830545
40,"NCU08083","K36 lost",2.89808294317391,2.84149649938234,2.64903504319099,-1.31908806721727,-1.29778161715426,-0.62998063623833,5.34700701329029,1.98199509385294,4.86369043548957
41,"NCU07638","K36 lost",2.65649157833717,2.97437862071704,3.27419671597831,0.0410034390675085,-0.109954852446266,1.01071871877974,5.0581323829945,1.97827524365113,3.20638977539761
42,"NCU16720","K36 lost",3.18135203434166,2.40044030691983,0.69628452706129,-0.767287667090305,-0.838845864999082,-1.58372465263922,2.63128870652479,1.65719987834593,2.71634858638563
